2019-05-04 14:31:57.613963 [epoch 0 iteration 00000]loss 8.902 | overlap 0.075
2019-05-04 14:31:58.136150 [epoch 0 iteration 00001]loss 7.269 | overlap 0.128
2019-05-04 14:31:58.694320 [epoch 0 iteration 00002]loss 7.922 | overlap 0.084
2019-05-04 14:31:59.224110 [epoch 0 iteration 00003]loss 6.292 | overlap 0.141
2019-05-04 14:31:59.733247 [epoch 0 iteration 00004]loss 5.878 | overlap 0.141
2019-05-04 14:32:00.255892 [epoch 0 iteration 00005]loss 6.848 | overlap 0.103
2019-05-04 14:32:00.779130 [epoch 0 iteration 00006]loss 7.187 | overlap 0.078
2019-05-04 14:32:01.300588 [epoch 0 iteration 00007]loss 6.246 | overlap 0.094
2019-05-04 14:32:01.819396 [epoch 0 iteration 00008]loss 5.192 | overlap 0.116
2019-05-04 14:32:02.334904 [epoch 0 iteration 00009]loss 5.953 | overlap 0.141
2019-05-04 14:32:02.863789 [epoch 0 iteration 00010]loss 5.345 | overlap 0.116
2019-05-04 14:32:03.380856 [epoch 0 iteration 00011]loss 5.723 | overlap 0.109
2019-05-04 14:32:03.894195 [epoch 0 iteration 00012]loss 5.154 | overlap 0.100
2019-05-04 14:32:04.430728 [epoch 0 iteration 00013]loss 5.915 | overlap 0.094
2019-05-04 14:32:04.948073 [epoch 0 iteration 00014]loss 4.678 | overlap 0.137
2019-05-04 14:32:05.471118 [epoch 0 iteration 00015]loss 4.897 | overlap 0.122
2019-05-04 14:32:05.996398 [epoch 0 iteration 00016]loss 4.991 | overlap 0.091
2019-05-04 14:32:06.521692 [epoch 0 iteration 00017]loss 5.304 | overlap 0.109
2019-05-04 14:32:07.049925 [epoch 0 iteration 00018]loss 4.828 | overlap 0.109
2019-05-04 14:32:07.574094 [epoch 0 iteration 00019]loss 4.301 | overlap 0.128
2019-05-04 14:32:08.098321 [epoch 0 iteration 00020]loss 4.834 | overlap 0.078
2019-05-04 14:32:08.616257 [epoch 0 iteration 00021]loss 4.653 | overlap 0.078
2019-05-04 14:32:09.177024 [epoch 0 iteration 00022]loss 4.532 | overlap 0.078
2019-05-04 14:32:09.703388 [epoch 0 iteration 00023]loss 4.048 | overlap 0.112
2019-05-04 14:32:10.228391 [epoch 0 iteration 00024]loss 4.748 | overlap 0.075
2019-05-04 14:32:10.752451 [epoch 0 iteration 00025]loss 4.208 | overlap 0.106
2019-05-04 14:32:11.273209 [epoch 0 iteration 00026]loss 4.184 | overlap 0.069
2019-05-04 14:32:11.800832 [epoch 0 iteration 00027]loss 3.443 | overlap 0.137
2019-05-04 14:32:12.339339 [epoch 0 iteration 00028]loss 3.495 | overlap 0.103
2019-05-04 14:32:12.858138 [epoch 0 iteration 00029]loss 3.792 | overlap 0.069
2019-05-04 14:32:13.377681 [epoch 0 iteration 00030]loss 3.267 | overlap 0.128
2019-05-04 14:32:13.903135 [epoch 0 iteration 00031]loss 3.335 | overlap 0.084
2019-05-04 14:32:14.423875 [epoch 0 iteration 00032]loss 3.201 | overlap 0.106
2019-05-04 14:32:14.946453 [epoch 0 iteration 00033]loss 3.461 | overlap 0.103
2019-05-04 14:32:15.467092 [epoch 0 iteration 00034]loss 3.255 | overlap 0.122
2019-05-04 14:32:15.989252 [epoch 0 iteration 00035]loss 3.512 | overlap 0.091
2019-05-04 14:32:16.506717 [epoch 0 iteration 00036]loss 3.756 | overlap 0.084
2019-05-04 14:32:17.028046 [epoch 0 iteration 00037]loss 3.179 | overlap 0.112
2019-05-04 14:32:17.557391 [epoch 0 iteration 00038]loss 3.433 | overlap 0.094
2019-05-04 14:32:18.072562 [epoch 0 iteration 00039]loss 2.904 | overlap 0.100
2019-05-04 14:32:18.596855 [epoch 0 iteration 00040]loss 3.225 | overlap 0.078
2019-05-04 14:32:19.120277 [epoch 0 iteration 00041]loss 2.972 | overlap 0.078
2019-05-04 14:32:19.639981 [epoch 0 iteration 00042]loss 3.017 | overlap 0.100
2019-05-04 14:32:20.160888 [epoch 0 iteration 00043]loss 3.122 | overlap 0.097
2019-05-04 14:32:20.675511 [epoch 0 iteration 00044]loss 3.408 | overlap 0.097
2019-05-04 14:32:21.233470 [epoch 0 iteration 00045]loss 3.228 | overlap 0.069
2019-05-04 14:32:21.758204 [epoch 0 iteration 00046]loss 3.084 | overlap 0.091
2019-05-04 14:32:22.271142 [epoch 0 iteration 00047]loss 3.160 | overlap 0.053
2019-05-04 14:32:22.796298 [epoch 0 iteration 00048]loss 2.983 | overlap 0.078
2019-05-04 14:32:23.314176 [epoch 0 iteration 00049]loss 3.051 | overlap 0.078
2019-05-04 14:32:23.839073 [epoch 0 iteration 00050]loss 2.574 | overlap 0.109
2019-05-04 14:32:24.371341 [epoch 0 iteration 00051]loss 2.890 | overlap 0.112
2019-05-04 14:32:24.895436 [epoch 0 iteration 00052]loss 2.565 | overlap 0.103
2019-05-04 14:32:25.412827 [epoch 0 iteration 00053]loss 2.965 | overlap 0.119
2019-05-04 14:32:25.933772 [epoch 0 iteration 00054]loss 3.088 | overlap 0.066
2019-05-04 14:32:26.448045 [epoch 0 iteration 00055]loss 2.440 | overlap 0.094
2019-05-04 14:32:26.961835 [epoch 0 iteration 00056]loss 2.868 | overlap 0.056
2019-05-04 14:32:27.482811 [epoch 0 iteration 00057]loss 3.336 | overlap 0.072
2019-05-04 14:32:28.002263 [epoch 0 iteration 00058]loss 2.566 | overlap 0.125
2019-05-04 14:32:28.526472 [epoch 0 iteration 00059]loss 2.679 | overlap 0.103
