2019-04-22 14:05:40.180028 [epoch 0 iteration 0000]loss 4.797 | overlap 0.066
2019-04-22 14:05:40.539863 [epoch 0 iteration 0001]loss 3.607 | overlap 0.047
2019-04-22 14:05:40.936124 [epoch 0 iteration 0002]loss 3.660 | overlap 0.066
2019-04-22 14:05:41.295064 [epoch 0 iteration 0003]loss 3.388 | overlap 0.059
2019-04-22 14:05:41.652269 [epoch 0 iteration 0004]loss 3.252 | overlap 0.088
2019-04-22 14:05:42.015160 [epoch 0 iteration 0005]loss 2.765 | overlap 0.075
2019-04-22 14:05:42.376653 [epoch 0 iteration 0006]loss 2.845 | overlap 0.069
2019-04-22 14:05:42.737699 [epoch 0 iteration 0007]loss 2.255 | overlap 0.069
2019-04-22 14:05:43.085570 [epoch 0 iteration 0008]loss 1.931 | overlap 0.078
2019-04-22 14:05:43.442816 [epoch 0 iteration 0009]loss 2.144 | overlap 0.075
2019-04-22 14:05:43.802312 [epoch 0 iteration 0010]loss 2.630 | overlap 0.066
2019-04-22 14:05:44.151651 [epoch 0 iteration 0011]loss 2.148 | overlap 0.053
2019-04-22 14:05:44.505886 [epoch 0 iteration 0012]loss 2.087 | overlap 0.081
2019-04-22 14:05:44.865304 [epoch 0 iteration 0013]loss 2.132 | overlap 0.084
2019-04-22 14:05:45.222702 [epoch 0 iteration 0014]loss 1.811 | overlap 0.059
2019-04-22 14:05:45.570588 [epoch 0 iteration 0015]loss 1.896 | overlap 0.075
2019-04-22 14:05:45.927642 [epoch 0 iteration 0016]loss 2.176 | overlap 0.088
2019-04-22 14:05:46.282814 [epoch 0 iteration 0017]loss 1.976 | overlap 0.081
2019-04-22 14:05:46.635703 [epoch 0 iteration 0018]loss 1.724 | overlap 0.059
2019-04-22 14:05:46.989937 [epoch 0 iteration 0019]loss 2.268 | overlap 0.078
2019-04-22 14:05:47.347724 [epoch 0 iteration 0020]loss 1.913 | overlap 0.109
2019-04-22 14:05:47.706203 [epoch 0 iteration 0021]loss 1.872 | overlap 0.078
2019-04-22 14:05:48.062374 [epoch 0 iteration 0022]loss 2.133 | overlap 0.066
2019-04-22 14:05:48.442050 [epoch 0 iteration 0023]loss 1.896 | overlap 0.078
2019-04-22 14:05:48.788946 [epoch 0 iteration 0024]loss 1.871 | overlap 0.056
2019-04-22 14:05:49.140785 [epoch 0 iteration 0025]loss 1.804 | overlap 0.069
2019-04-22 14:05:49.490607 [epoch 0 iteration 0026]loss 1.882 | overlap 0.062
2019-04-22 14:05:49.838119 [epoch 0 iteration 0027]loss 2.008 | overlap 0.056
2019-04-22 14:05:50.188676 [epoch 0 iteration 0028]loss 1.680 | overlap 0.059
2019-04-22 14:05:50.534897 [epoch 0 iteration 0029]loss 1.703 | overlap 0.094
2019-04-22 14:05:50.882080 [epoch 0 iteration 0030]loss 1.730 | overlap 0.066
2019-04-22 14:05:51.232345 [epoch 0 iteration 0031]loss 1.621 | overlap 0.075
2019-04-22 14:05:51.580890 [epoch 0 iteration 0032]loss 1.601 | overlap 0.094
2019-04-22 14:05:51.940993 [epoch 0 iteration 0033]loss 1.792 | overlap 0.119
2019-04-22 14:05:52.294655 [epoch 0 iteration 0034]loss 1.704 | overlap 0.078
2019-04-22 14:05:52.652675 [epoch 0 iteration 0035]loss 1.837 | overlap 0.081
2019-04-22 14:05:53.010277 [epoch 0 iteration 0036]loss 1.806 | overlap 0.075
2019-04-22 14:05:53.369741 [epoch 0 iteration 0037]loss 1.750 | overlap 0.056
2019-04-22 14:05:53.727641 [epoch 0 iteration 0038]loss 1.884 | overlap 0.091
2019-04-22 14:05:54.085293 [epoch 0 iteration 0039]loss 1.721 | overlap 0.059
2019-04-22 14:05:54.435632 [epoch 0 iteration 0040]loss 1.686 | overlap 0.066
2019-04-22 14:05:54.782825 [epoch 0 iteration 0041]loss 1.585 | overlap 0.053
2019-04-22 14:05:55.138558 [epoch 0 iteration 0042]loss 1.673 | overlap 0.066
2019-04-22 14:05:55.502464 [epoch 0 iteration 0043]loss 1.677 | overlap 0.091
2019-04-22 14:05:55.850030 [epoch 0 iteration 0044]loss 1.678 | overlap 0.062
2019-04-22 14:05:56.236910 [epoch 0 iteration 0045]loss 1.675 | overlap 0.062
2019-04-22 14:05:56.595586 [epoch 0 iteration 0046]loss 1.870 | overlap 0.044
2019-04-22 14:05:56.945884 [epoch 0 iteration 0047]loss 1.647 | overlap 0.072
2019-04-22 14:05:57.301212 [epoch 0 iteration 0048]loss 1.687 | overlap 0.072
2019-04-22 14:05:57.648082 [epoch 0 iteration 0049]loss 1.609 | overlap 0.081
2019-04-22 14:05:57.996770 [epoch 0 iteration 0050]loss 1.710 | overlap 0.066
2019-04-22 14:05:58.346056 [epoch 0 iteration 0051]loss 1.614 | overlap 0.062
2019-04-22 14:05:58.698605 [epoch 0 iteration 0052]loss 1.640 | overlap 0.078
2019-04-22 14:05:59.046427 [epoch 0 iteration 0053]loss 1.627 | overlap 0.075
2019-04-22 14:05:59.394553 [epoch 0 iteration 0054]loss 1.674 | overlap 0.100
2019-04-22 14:05:59.746006 [epoch 0 iteration 0055]loss 1.572 | overlap 0.088
2019-04-22 14:06:00.094482 [epoch 0 iteration 0056]loss 1.796 | overlap 0.059
2019-04-22 14:06:00.445622 [epoch 0 iteration 0057]loss 1.631 | overlap 0.081
2019-04-22 14:06:00.796197 [epoch 0 iteration 0058]loss 1.608 | overlap 0.053
2019-04-22 14:06:01.153092 [epoch 0 iteration 0059]loss 1.693 | overlap 0.075
2019-04-22 14:06:01.510628 [epoch 0 iteration 0060]loss 1.603 | overlap 0.097
2019-04-22 14:06:01.859827 [epoch 0 iteration 0061]loss 1.705 | overlap 0.072
2019-04-22 14:06:02.209640 [epoch 0 iteration 0062]loss 1.597 | overlap 0.066
2019-04-22 14:06:02.560458 [epoch 0 iteration 0063]loss 1.597 | overlap 0.069
2019-04-22 14:06:02.907976 [epoch 0 iteration 0064]loss 1.590 | overlap 0.094
2019-04-22 14:06:03.258333 [epoch 0 iteration 0065]loss 1.620 | overlap 0.094
2019-04-22 14:06:03.612168 [epoch 0 iteration 0066]loss 1.685 | overlap 0.056
2019-04-22 14:06:03.999412 [epoch 0 iteration 0067]loss 1.607 | overlap 0.066
