2019-04-20 23:43:27.335355 [epoch 0 iteration 0000]loss 2.644 | overlap 0.112
2019-04-20 23:43:28.161953 [epoch 0 iteration 0001]loss 2.338 | overlap 0.119
2019-04-20 23:43:28.910531 [epoch 0 iteration 0002]loss 2.219 | overlap 0.097
2019-04-20 23:43:29.715000 [epoch 0 iteration 0003]loss 1.999 | overlap 0.091
2019-04-20 23:43:30.494575 [epoch 0 iteration 0004]loss 2.066 | overlap 0.109
2019-04-20 23:43:31.279655 [epoch 0 iteration 0005]loss 2.031 | overlap 0.122
2019-04-20 23:43:32.068228 [epoch 0 iteration 0006]loss 1.942 | overlap 0.088
2019-04-20 23:43:32.858049 [epoch 0 iteration 0007]loss 1.925 | overlap 0.112
2019-04-20 23:43:33.615945 [epoch 0 iteration 0008]loss 1.842 | overlap 0.100
2019-04-20 23:43:34.387908 [epoch 0 iteration 0009]loss 2.010 | overlap 0.075
2019-04-20 23:43:35.169437 [epoch 0 iteration 0010]loss 1.897 | overlap 0.116
2019-04-20 23:43:35.933209 [epoch 0 iteration 0011]loss 1.825 | overlap 0.094
2019-04-20 23:43:36.701909 [epoch 0 iteration 0012]loss 1.765 | overlap 0.122
2019-04-20 23:43:37.473578 [epoch 0 iteration 0013]loss 1.775 | overlap 0.116
2019-04-20 23:43:38.253050 [epoch 0 iteration 0014]loss 1.813 | overlap 0.122
2019-04-20 23:43:39.027002 [epoch 0 iteration 0015]loss 1.874 | overlap 0.084
2019-04-20 23:43:39.813831 [epoch 0 iteration 0016]loss 1.820 | overlap 0.100
2019-04-20 23:43:40.592898 [epoch 0 iteration 0017]loss 1.755 | overlap 0.109
2019-04-20 23:43:41.334560 [epoch 0 iteration 0018]loss 1.680 | overlap 0.137
2019-04-20 23:43:42.113934 [epoch 0 iteration 0019]loss 1.709 | overlap 0.091
2019-04-20 23:43:42.919967 [epoch 0 iteration 0020]loss 1.632 | overlap 0.150
2019-04-20 23:43:43.681591 [epoch 0 iteration 0021]loss 1.687 | overlap 0.106
2019-04-20 23:43:44.462470 [epoch 0 iteration 0022]loss 1.769 | overlap 0.069
2019-04-20 23:43:45.255101 [epoch 0 iteration 0023]loss 1.731 | overlap 0.081
2019-04-20 23:43:46.036369 [epoch 0 iteration 0024]loss 1.744 | overlap 0.103
2019-04-20 23:43:46.837500 [epoch 0 iteration 0025]loss 1.545 | overlap 0.178
2019-04-20 23:43:47.634405 [epoch 0 iteration 0026]loss 1.672 | overlap 0.125
2019-04-20 23:43:48.409870 [epoch 0 iteration 0027]loss 1.585 | overlap 0.141
2019-04-20 23:43:49.170136 [epoch 0 iteration 0028]loss 1.656 | overlap 0.112
2019-04-20 23:43:49.981194 [epoch 0 iteration 0029]loss 1.656 | overlap 0.106
2019-04-20 23:43:50.772468 [epoch 0 iteration 0030]loss 1.584 | overlap 0.150
2019-04-20 23:43:51.565375 [epoch 0 iteration 0031]loss 1.689 | overlap 0.094
2019-04-20 23:43:52.355365 [epoch 0 iteration 0032]loss 1.439 | overlap 0.212
2019-04-20 23:43:53.147987 [epoch 0 iteration 0033]loss 1.598 | overlap 0.116
2019-04-20 23:43:53.954608 [epoch 0 iteration 0034]loss 1.623 | overlap 0.144
2019-04-20 23:43:54.716075 [epoch 0 iteration 0035]loss 1.613 | overlap 0.106
2019-04-20 23:43:55.494443 [epoch 0 iteration 0036]loss 1.668 | overlap 0.088
2019-04-20 23:43:56.212662 [epoch 0 iteration 0037]loss 1.556 | overlap 0.156
2019-04-20 23:43:56.984942 [epoch 0 iteration 0038]loss 1.605 | overlap 0.091
2019-04-20 23:43:57.741200 [epoch 0 iteration 0039]loss 1.569 | overlap 0.072
2019-04-20 23:43:58.543085 [epoch 0 iteration 0040]loss 1.575 | overlap 0.128
2019-04-20 23:43:59.321307 [epoch 0 iteration 0041]loss 1.548 | overlap 0.150
2019-04-20 23:44:00.076845 [epoch 0 iteration 0042]loss 1.571 | overlap 0.109
2019-04-20 23:44:00.872689 [epoch 0 iteration 0043]loss 1.643 | overlap 0.109
2019-04-20 23:44:01.632345 [epoch 0 iteration 0044]loss 1.664 | overlap 0.106
2019-04-20 23:44:02.401698 [epoch 0 iteration 0045]loss 1.575 | overlap 0.097
2019-04-20 23:44:03.193651 [epoch 0 iteration 0046]loss 1.658 | overlap 0.084
2019-04-20 23:44:03.936517 [epoch 0 iteration 0047]loss 1.602 | overlap 0.137
2019-04-20 23:44:04.732371 [epoch 0 iteration 0048]loss 1.527 | overlap 0.144
2019-04-20 23:44:05.498645 [epoch 0 iteration 0049]loss 1.588 | overlap 0.109
2019-04-20 23:44:06.343089 [epoch 0 iteration 0050]loss 1.620 | overlap 0.100
2019-04-20 23:44:07.095013 [epoch 0 iteration 0051]loss 1.661 | overlap 0.059
2019-04-20 23:44:07.884643 [epoch 0 iteration 0052]loss 1.598 | overlap 0.131
2019-04-20 23:44:08.666862 [epoch 0 iteration 0053]loss 1.629 | overlap 0.119
2019-04-20 23:44:09.427029 [epoch 0 iteration 0054]loss 1.548 | overlap 0.128
2019-04-20 23:44:10.189932 [epoch 0 iteration 0055]loss 1.536 | overlap 0.119
2019-04-20 23:44:10.929996 [epoch 0 iteration 0056]loss 1.567 | overlap 0.131
2019-04-20 23:44:11.718322 [epoch 0 iteration 0057]loss 1.645 | overlap 0.059
2019-04-20 23:44:12.486355 [epoch 0 iteration 0058]loss 1.578 | overlap 0.109
2019-04-20 23:44:13.260223 [epoch 0 iteration 0059]loss 1.528 | overlap 0.166
2019-04-20 23:44:14.051268 [epoch 0 iteration 0060]loss 1.550 | overlap 0.172
2019-04-20 23:44:14.824914 [epoch 0 iteration 0061]loss 1.473 | overlap 0.175
2019-04-20 23:44:15.581768 [epoch 0 iteration 0062]loss 1.565 | overlap 0.103
2019-04-20 23:44:16.326614 [epoch 0 iteration 0063]loss 1.569 | overlap 0.116
2019-04-20 23:44:17.121864 [epoch 0 iteration 0064]loss 1.553 | overlap 0.144
2019-04-20 23:44:17.850917 [epoch 0 iteration 0065]loss 1.505 | overlap 0.163
2019-04-20 23:44:18.612102 [epoch 0 iteration 0066]loss 1.684 | overlap 0.094
2019-04-20 23:44:19.407746 [epoch 0 iteration 0067]loss 1.544 | overlap 0.172
