2019-04-21 16:37:02.520011 [epoch 0 iteration 0000]loss 5.315 | overlap 0.134
2019-04-21 16:37:03.478114 [epoch 0 iteration 0001]loss 5.007 | overlap 0.106
2019-04-21 16:37:04.380690 [epoch 0 iteration 0002]loss 4.532 | overlap 0.116
2019-04-21 16:37:05.287480 [epoch 0 iteration 0003]loss 3.978 | overlap 0.122
2019-04-21 16:37:06.199018 [epoch 0 iteration 0004]loss 3.813 | overlap 0.166
2019-04-21 16:37:07.113962 [epoch 0 iteration 0005]loss 3.227 | overlap 0.159
2019-04-21 16:37:08.031704 [epoch 0 iteration 0006]loss 3.297 | overlap 0.147
2019-04-21 16:37:08.949624 [epoch 0 iteration 0007]loss 3.876 | overlap 0.072
2019-04-21 16:37:09.851851 [epoch 0 iteration 0008]loss 2.911 | overlap 0.100
2019-04-21 16:37:10.771436 [epoch 0 iteration 0009]loss 3.529 | overlap 0.109
2019-04-21 16:37:11.674309 [epoch 0 iteration 0010]loss 2.814 | overlap 0.100
2019-04-21 16:37:12.581435 [epoch 0 iteration 0011]loss 2.973 | overlap 0.153
2019-04-21 16:37:13.493680 [epoch 0 iteration 0012]loss 2.804 | overlap 0.094
2019-04-21 16:37:14.407985 [epoch 0 iteration 0013]loss 2.932 | overlap 0.131
2019-04-21 16:37:15.317181 [epoch 0 iteration 0014]loss 2.430 | overlap 0.181
2019-04-21 16:37:16.228053 [epoch 0 iteration 0015]loss 2.527 | overlap 0.109
2019-04-21 16:37:17.146312 [epoch 0 iteration 0016]loss 2.296 | overlap 0.094
2019-04-21 16:37:18.054722 [epoch 0 iteration 0017]loss 2.329 | overlap 0.128
2019-04-21 16:37:18.974140 [epoch 0 iteration 0018]loss 2.616 | overlap 0.091
2019-04-21 16:37:19.884061 [epoch 0 iteration 0019]loss 2.253 | overlap 0.128
2019-04-21 16:37:20.800808 [epoch 0 iteration 0020]loss 2.316 | overlap 0.119
2019-04-21 16:37:21.711794 [epoch 0 iteration 0021]loss 2.155 | overlap 0.116
2019-04-21 16:37:22.581664 [epoch 0 iteration 0022]loss 1.968 | overlap 0.100
2019-04-21 16:37:23.492537 [epoch 0 iteration 0023]loss 2.103 | overlap 0.094
2019-04-21 16:37:24.410577 [epoch 0 iteration 0024]loss 2.153 | overlap 0.112
2019-04-21 16:37:25.324403 [epoch 0 iteration 0025]loss 2.092 | overlap 0.144
2019-04-21 16:37:26.281016 [epoch 0 iteration 0026]loss 2.068 | overlap 0.119
