2019-04-21 10:59:35.653186 [epoch 0 iteration 0000]loss 1.926 | overlap 0.122
2019-04-21 10:59:36.593204 [epoch 0 iteration 0001]loss 1.837 | overlap 0.119
2019-04-21 10:59:37.481301 [epoch 0 iteration 0002]loss 1.839 | overlap 0.091
2019-04-21 10:59:38.393844 [epoch 0 iteration 0003]loss 1.835 | overlap 0.109
2019-04-21 10:59:39.262169 [epoch 0 iteration 0004]loss 1.795 | overlap 0.122
2019-04-21 10:59:40.173769 [epoch 0 iteration 0005]loss 1.745 | overlap 0.144
2019-04-21 10:59:41.066308 [epoch 0 iteration 0006]loss 1.819 | overlap 0.097
2019-04-21 10:59:41.952011 [epoch 0 iteration 0007]loss 1.740 | overlap 0.128
2019-04-21 10:59:42.818029 [epoch 0 iteration 0008]loss 1.649 | overlap 0.116
2019-04-21 10:59:43.706430 [epoch 0 iteration 0009]loss 1.775 | overlap 0.084
2019-04-21 10:59:44.604452 [epoch 0 iteration 0010]loss 1.723 | overlap 0.116
2019-04-21 10:59:45.487898 [epoch 0 iteration 0011]loss 1.570 | overlap 0.141
2019-04-21 10:59:46.393264 [epoch 0 iteration 0012]loss 1.676 | overlap 0.097
2019-04-21 10:59:47.318896 [epoch 0 iteration 0013]loss 1.629 | overlap 0.109
2019-04-21 10:59:48.234417 [epoch 0 iteration 0014]loss 1.550 | overlap 0.134
2019-04-21 10:59:49.109131 [epoch 0 iteration 0015]loss 1.617 | overlap 0.116
2019-04-21 10:59:49.980609 [epoch 0 iteration 0016]loss 1.562 | overlap 0.153
2019-04-21 10:59:50.867765 [epoch 0 iteration 0017]loss 1.643 | overlap 0.112
2019-04-21 10:59:51.779964 [epoch 0 iteration 0018]loss 1.625 | overlap 0.125
2019-04-21 10:59:52.641329 [epoch 0 iteration 0019]loss 1.542 | overlap 0.166
2019-04-21 10:59:53.532794 [epoch 0 iteration 0020]loss 1.568 | overlap 0.109
2019-04-21 10:59:54.432526 [epoch 0 iteration 0021]loss 1.613 | overlap 0.119
2019-04-21 10:59:55.288086 [epoch 0 iteration 0022]loss 1.616 | overlap 0.137
2019-04-21 10:59:56.171228 [epoch 0 iteration 0023]loss 1.473 | overlap 0.159
2019-04-21 10:59:57.043111 [epoch 0 iteration 0024]loss 1.602 | overlap 0.091
2019-04-21 10:59:57.964522 [epoch 0 iteration 0025]loss 1.695 | overlap 0.088
2019-04-21 10:59:58.880742 [epoch 0 iteration 0026]loss 1.708 | overlap 0.066
2019-04-21 10:59:59.736584 [epoch 0 iteration 0027]loss 1.568 | overlap 0.137
2019-04-21 11:00:00.617859 [epoch 0 iteration 0028]loss 1.645 | overlap 0.100
2019-04-21 11:00:01.497257 [epoch 0 iteration 0029]loss 1.573 | overlap 0.141
2019-04-21 11:00:02.366670 [epoch 0 iteration 0030]loss 1.561 | overlap 0.116
2019-04-21 11:00:03.219841 [epoch 0 iteration 0031]loss 1.598 | overlap 0.119
2019-04-21 11:00:04.092108 [epoch 0 iteration 0032]loss 1.620 | overlap 0.097
