2019-04-22 11:48:26.653274 [epoch 0 iteration 0000]loss 5.789 | overlap 0.156
2019-04-22 11:48:27.299950 [epoch 0 iteration 0001]loss 5.481 | overlap 0.181
2019-04-22 11:48:27.896103 [epoch 0 iteration 0002]loss 5.546 | overlap 0.128
2019-04-22 11:48:28.494503 [epoch 0 iteration 0003]loss 5.854 | overlap 0.109
2019-04-22 11:48:29.091466 [epoch 0 iteration 0004]loss 4.953 | overlap 0.112
2019-04-22 11:48:29.674813 [epoch 0 iteration 0005]loss 5.168 | overlap 0.153
2019-04-22 11:48:30.270583 [epoch 0 iteration 0006]loss 4.057 | overlap 0.169
2019-04-22 11:48:30.869173 [epoch 0 iteration 0007]loss 4.864 | overlap 0.128
2019-04-22 11:48:31.454323 [epoch 0 iteration 0008]loss 3.566 | overlap 0.153
2019-04-22 11:48:32.048959 [epoch 0 iteration 0009]loss 4.520 | overlap 0.122
2019-04-22 11:48:32.644748 [epoch 0 iteration 0010]loss 3.614 | overlap 0.175
2019-04-22 11:48:33.242529 [epoch 0 iteration 0011]loss 3.472 | overlap 0.153
2019-04-22 11:48:33.820723 [epoch 0 iteration 0012]loss 3.566 | overlap 0.144
2019-04-22 11:48:34.405024 [epoch 0 iteration 0013]loss 3.232 | overlap 0.128
2019-04-22 11:48:35.003276 [epoch 0 iteration 0014]loss 3.140 | overlap 0.116
2019-04-22 11:48:35.582665 [epoch 0 iteration 0015]loss 3.789 | overlap 0.075
2019-04-22 11:48:36.164998 [epoch 0 iteration 0016]loss 4.061 | overlap 0.084
2019-04-22 11:48:36.749201 [epoch 0 iteration 0017]loss 3.718 | overlap 0.116
2019-04-22 11:48:37.342631 [epoch 0 iteration 0018]loss 3.114 | overlap 0.141
2019-04-22 11:48:37.919914 [epoch 0 iteration 0019]loss 2.713 | overlap 0.116
2019-04-22 11:48:38.519852 [epoch 0 iteration 0020]loss 2.576 | overlap 0.141
2019-04-22 11:48:39.101081 [epoch 0 iteration 0021]loss 3.097 | overlap 0.091
2019-04-22 11:48:39.685123 [epoch 0 iteration 0022]loss 3.146 | overlap 0.094
2019-04-22 11:48:40.263364 [epoch 0 iteration 0023]loss 3.153 | overlap 0.116
2019-04-22 11:48:40.876502 [epoch 0 iteration 0024]loss 2.592 | overlap 0.141
2019-04-22 11:48:41.455348 [epoch 0 iteration 0025]loss 2.641 | overlap 0.109
2019-04-22 11:48:42.039239 [epoch 0 iteration 0026]loss 2.779 | overlap 0.084
2019-04-22 11:48:42.625368 [epoch 0 iteration 0027]loss 3.016 | overlap 0.056
2019-04-22 11:48:43.208895 [epoch 0 iteration 0028]loss 2.741 | overlap 0.106
2019-04-22 11:48:43.790344 [epoch 0 iteration 0029]loss 2.593 | overlap 0.100
2019-04-22 11:48:44.372602 [epoch 0 iteration 0030]loss 2.459 | overlap 0.109
2019-04-22 11:48:44.956289 [epoch 0 iteration 0031]loss 2.799 | overlap 0.119
2019-04-22 11:48:45.536293 [epoch 0 iteration 0032]loss 2.705 | overlap 0.075
2019-04-22 11:48:46.135196 [epoch 0 iteration 0033]loss 2.472 | overlap 0.100
2019-04-22 11:48:46.720179 [epoch 0 iteration 0034]loss 2.127 | overlap 0.144
2019-04-22 11:48:47.321475 [epoch 0 iteration 0035]loss 2.559 | overlap 0.112
2019-04-22 11:48:47.899272 [epoch 0 iteration 0036]loss 2.131 | overlap 0.056
2019-04-22 11:48:48.478108 [epoch 0 iteration 0037]loss 2.430 | overlap 0.075
2019-04-22 11:48:49.058352 [epoch 0 iteration 0038]loss 2.435 | overlap 0.056
2019-04-22 11:48:49.634917 [epoch 0 iteration 0039]loss 2.315 | overlap 0.081
2019-04-22 11:48:50.212799 [epoch 0 iteration 0040]loss 2.146 | overlap 0.066
2019-04-22 11:48:50.794847 [epoch 0 iteration 0041]loss 2.541 | overlap 0.094
2019-04-22 11:48:51.371744 [epoch 0 iteration 0042]loss 2.158 | overlap 0.106
2019-04-22 11:48:51.952805 [epoch 0 iteration 0043]loss 2.057 | overlap 0.091
2019-04-22 11:48:52.531334 [epoch 0 iteration 0044]loss 2.239 | overlap 0.119
2019-04-22 11:48:53.115283 [epoch 0 iteration 0045]loss 2.176 | overlap 0.081
2019-04-22 11:48:53.694592 [epoch 0 iteration 0046]loss 2.269 | overlap 0.075
2019-04-22 11:48:54.317933 [epoch 0 iteration 0047]loss 2.313 | overlap 0.125
2019-04-22 11:48:54.898596 [epoch 0 iteration 0048]loss 2.244 | overlap 0.122
2019-04-22 11:48:55.476554 [epoch 0 iteration 0049]loss 2.003 | overlap 0.091
2019-04-22 11:48:56.051215 [epoch 0 iteration 0050]loss 2.065 | overlap 0.072
2019-04-22 11:48:56.631453 [epoch 0 iteration 0051]loss 2.128 | overlap 0.116
2019-04-22 11:48:57.212645 [epoch 0 iteration 0052]loss 2.111 | overlap 0.066
2019-04-22 11:48:57.793711 [epoch 0 iteration 0053]loss 1.884 | overlap 0.134
2019-04-22 11:48:58.374117 [epoch 0 iteration 0054]loss 1.945 | overlap 0.094
2019-04-22 11:48:58.951888 [epoch 0 iteration 0055]loss 2.070 | overlap 0.091
2019-04-22 11:48:59.532543 [epoch 0 iteration 0056]loss 2.043 | overlap 0.081
2019-04-22 11:49:00.115077 [epoch 0 iteration 0057]loss 1.999 | overlap 0.103
2019-04-22 11:49:00.695849 [epoch 0 iteration 0058]loss 2.007 | overlap 0.109
2019-04-22 11:49:01.276367 [epoch 0 iteration 0059]loss 1.855 | overlap 0.112
2019-04-22 11:49:01.856490 [epoch 0 iteration 0060]loss 1.839 | overlap 0.159
2019-04-22 11:49:02.433486 [epoch 0 iteration 0061]loss 1.988 | overlap 0.084
2019-04-22 11:49:03.011305 [epoch 0 iteration 0062]loss 1.905 | overlap 0.125
2019-04-22 11:49:03.587115 [epoch 0 iteration 0063]loss 1.955 | overlap 0.109
2019-04-22 11:49:04.166778 [epoch 0 iteration 0064]loss 1.916 | overlap 0.084
2019-04-22 11:49:04.746239 [epoch 0 iteration 0065]loss 2.072 | overlap 0.062
2019-04-22 11:49:05.323309 [epoch 0 iteration 0066]loss 2.055 | overlap 0.119
2019-04-22 11:49:05.901294 [epoch 0 iteration 0067]loss 1.992 | overlap 0.100
2019-04-22 11:49:06.477082 [epoch 0 iteration 0068]loss 1.838 | overlap 0.091
2019-04-22 11:49:07.059882 [epoch 0 iteration 0069]loss 1.898 | overlap 0.141
2019-04-22 11:49:07.641949 [epoch 0 iteration 0070]loss 1.958 | overlap 0.122
2019-04-22 11:49:08.223209 [epoch 0 iteration 0071]loss 1.963 | overlap 0.075
2019-04-22 11:49:08.833109 [epoch 0 iteration 0072]loss 1.955 | overlap 0.103
2019-04-22 11:49:09.422054 [epoch 0 iteration 0073]loss 1.919 | overlap 0.094
2019-04-22 11:49:09.999720 [epoch 0 iteration 0074]loss 1.994 | overlap 0.106
2019-04-22 11:49:10.583380 [epoch 0 iteration 0075]loss 2.071 | overlap 0.053
2019-04-22 11:49:11.162442 [epoch 0 iteration 0076]loss 1.812 | overlap 0.088
2019-04-22 11:49:11.743514 [epoch 0 iteration 0077]loss 1.839 | overlap 0.141
2019-04-22 11:49:12.323109 [epoch 0 iteration 0078]loss 1.839 | overlap 0.075
2019-04-22 11:49:12.903359 [epoch 0 iteration 0079]loss 1.823 | overlap 0.100
2019-04-22 11:49:13.476504 [epoch 0 iteration 0080]loss 1.833 | overlap 0.053
2019-04-22 11:49:14.055690 [epoch 0 iteration 0081]loss 1.666 | overlap 0.075
2019-04-22 11:49:14.637483 [epoch 0 iteration 0082]loss 1.735 | overlap 0.116
2019-04-22 11:49:15.216610 [epoch 0 iteration 0083]loss 1.810 | overlap 0.059
2019-04-22 11:49:15.798540 [epoch 0 iteration 0084]loss 1.829 | overlap 0.134
2019-04-22 11:49:16.379809 [epoch 0 iteration 0085]loss 1.793 | overlap 0.081
2019-04-22 11:49:16.958779 [epoch 0 iteration 0086]loss 1.793 | overlap 0.128
2019-04-22 11:49:17.535727 [epoch 0 iteration 0087]loss 1.934 | overlap 0.075
2019-04-22 11:49:18.114393 [epoch 0 iteration 0088]loss 1.706 | overlap 0.109
2019-04-22 11:49:18.696087 [epoch 0 iteration 0089]loss 1.778 | overlap 0.112
2019-04-22 11:49:19.275818 [epoch 0 iteration 0090]loss 1.672 | overlap 0.141
2019-04-22 11:49:19.857078 [epoch 0 iteration 0091]loss 1.828 | overlap 0.100
2019-04-22 11:49:20.438418 [epoch 0 iteration 0092]loss 1.711 | overlap 0.153
2019-04-22 11:49:21.068810 [epoch 0 iteration 0093]loss 1.794 | overlap 0.141
2019-04-22 11:49:21.649932 [epoch 0 iteration 0094]loss 1.762 | overlap 0.116
2019-04-22 11:49:22.229515 [epoch 0 iteration 0095]loss 1.895 | overlap 0.103
2019-04-22 11:49:22.812279 [epoch 0 iteration 0096]loss 1.797 | overlap 0.137
2019-04-22 11:49:23.392828 [epoch 0 iteration 0097]loss 1.812 | overlap 0.116
2019-04-22 11:49:23.972364 [epoch 0 iteration 0098]loss 1.641 | overlap 0.175
2019-04-22 11:49:24.551782 [epoch 0 iteration 0099]loss 1.608 | overlap 0.109
=================== interval 99 | loss 2.533 | overlap 0.108 ===================
2019-04-22 11:49:25.130915 [epoch 0 iteration 0100]loss 1.947 | overlap 0.109
2019-04-22 11:49:25.710287 [epoch 0 iteration 0101]loss 1.629 | overlap 0.141
2019-04-22 11:49:26.289302 [epoch 0 iteration 0102]loss 1.724 | overlap 0.081
2019-04-22 11:49:26.867108 [epoch 0 iteration 0103]loss 1.735 | overlap 0.094
2019-04-22 11:49:27.446153 [epoch 0 iteration 0104]loss 1.855 | overlap 0.097
2019-04-22 11:49:28.024491 [epoch 0 iteration 0105]loss 1.778 | overlap 0.112
2019-04-22 11:49:28.600938 [epoch 0 iteration 0106]loss 1.635 | overlap 0.116
2019-04-22 11:49:29.181573 [epoch 0 iteration 0107]loss 1.757 | overlap 0.131
2019-04-22 11:49:29.756884 [epoch 0 iteration 0108]loss 1.848 | overlap 0.088
2019-04-22 11:49:30.333151 [epoch 0 iteration 0109]loss 1.727 | overlap 0.137
2019-04-22 11:49:30.915704 [epoch 0 iteration 0110]loss 1.638 | overlap 0.137
2019-04-22 11:49:31.490985 [epoch 0 iteration 0111]loss 1.698 | overlap 0.144
2019-04-22 11:49:32.068099 [epoch 0 iteration 0112]loss 1.659 | overlap 0.112
2019-04-22 11:49:32.646716 [epoch 0 iteration 0113]loss 1.667 | overlap 0.119
2019-04-22 11:49:33.233844 [epoch 0 iteration 0114]loss 1.778 | overlap 0.125
2019-04-22 11:49:33.813317 [epoch 0 iteration 0115]loss 1.786 | overlap 0.106
2019-04-22 11:49:34.391578 [epoch 0 iteration 0116]loss 1.648 | overlap 0.112
2019-04-22 11:49:34.999310 [epoch 0 iteration 0117]loss 1.725 | overlap 0.069
2019-04-22 11:49:35.580845 [epoch 0 iteration 0118]loss 1.725 | overlap 0.119
2019-04-22 11:49:36.156233 [epoch 0 iteration 0119]loss 1.793 | overlap 0.072
2019-04-22 11:49:36.737761 [epoch 0 iteration 0120]loss 1.675 | overlap 0.106
2019-04-22 11:49:37.318393 [epoch 0 iteration 0121]loss 1.601 | overlap 0.175
2019-04-22 11:49:37.897074 [epoch 0 iteration 0122]loss 1.803 | overlap 0.097
2019-04-22 11:49:38.481261 [epoch 0 iteration 0123]loss 1.691 | overlap 0.137
2019-04-22 11:49:39.059531 [epoch 0 iteration 0124]loss 1.687 | overlap 0.109
2019-04-22 11:49:39.638892 [epoch 0 iteration 0125]loss 1.713 | overlap 0.128
2019-04-22 11:49:40.222244 [epoch 0 iteration 0126]loss 1.628 | overlap 0.159
2019-04-22 11:49:40.806085 [epoch 0 iteration 0127]loss 1.694 | overlap 0.128
2019-04-22 11:49:41.384050 [epoch 0 iteration 0128]loss 1.828 | overlap 0.097
2019-04-22 11:49:41.967189 [epoch 0 iteration 0129]loss 1.615 | overlap 0.131
2019-04-22 11:49:42.553532 [epoch 0 iteration 0130]loss 1.696 | overlap 0.134
2019-04-22 11:49:43.139887 [epoch 0 iteration 0131]loss 1.717 | overlap 0.097
2019-04-22 11:49:43.717921 [epoch 0 iteration 0132]loss 1.599 | overlap 0.128
2019-04-22 11:49:44.300592 [epoch 0 iteration 0133]loss 1.722 | overlap 0.109
2019-04-22 11:49:44.888040 [epoch 0 iteration 0134]loss 1.748 | overlap 0.109
2019-04-22 11:49:45.467954 [epoch 0 iteration 0135]loss 1.711 | overlap 0.081
2019-04-22 11:49:46.047546 [epoch 0 iteration 0136]loss 1.746 | overlap 0.100
2019-04-22 11:49:46.630072 [epoch 0 iteration 0137]loss 1.650 | overlap 0.103
2019-04-22 11:49:47.214164 [epoch 0 iteration 0138]loss 1.647 | overlap 0.119
2019-04-22 11:49:47.834766 [epoch 0 iteration 0139]loss 1.724 | overlap 0.072
2019-04-22 11:49:48.411988 [epoch 0 iteration 0140]loss 1.693 | overlap 0.100
2019-04-22 11:49:48.988714 [epoch 0 iteration 0141]loss 1.625 | overlap 0.088
2019-04-22 11:49:49.572998 [epoch 0 iteration 0142]loss 1.610 | overlap 0.134
2019-04-22 11:49:50.150612 [epoch 0 iteration 0143]loss 1.681 | overlap 0.125
2019-04-22 11:49:50.733358 [epoch 0 iteration 0144]loss 1.698 | overlap 0.116
2019-04-22 11:49:51.311949 [epoch 0 iteration 0145]loss 1.668 | overlap 0.094
2019-04-22 11:49:51.892795 [epoch 0 iteration 0146]loss 1.670 | overlap 0.109
2019-04-22 11:49:52.474658 [epoch 0 iteration 0147]loss 1.681 | overlap 0.094
2019-04-22 11:49:53.066789 [epoch 0 iteration 0148]loss 1.707 | overlap 0.053
2019-04-22 11:49:53.643784 [epoch 0 iteration 0149]loss 1.682 | overlap 0.078
2019-04-22 11:49:54.222817 [epoch 0 iteration 0150]loss 1.667 | overlap 0.097
2019-04-22 11:49:54.802631 [epoch 0 iteration 0151]loss 1.597 | overlap 0.122
2019-04-22 11:49:55.379304 [epoch 0 iteration 0152]loss 1.621 | overlap 0.075
2019-04-22 11:49:55.957713 [epoch 0 iteration 0153]loss 1.694 | overlap 0.091
2019-04-22 11:49:56.542441 [epoch 0 iteration 0154]loss 1.596 | overlap 0.134
2019-04-22 11:49:57.124328 [epoch 0 iteration 0155]loss 1.561 | overlap 0.141
2019-04-22 11:49:57.699883 [epoch 0 iteration 0156]loss 1.583 | overlap 0.128
2019-04-22 11:49:58.279431 [epoch 0 iteration 0157]loss 1.690 | overlap 0.091
2019-04-22 11:49:58.863876 [epoch 0 iteration 0158]loss 1.719 | overlap 0.091
2019-04-22 11:49:59.440498 [epoch 0 iteration 0159]loss 1.601 | overlap 0.131
2019-04-22 11:50:00.022041 [epoch 0 iteration 0160]loss 1.638 | overlap 0.106
2019-04-22 11:50:00.605481 [epoch 0 iteration 0161]loss 1.578 | overlap 0.144
2019-04-22 11:50:01.203948 [epoch 0 iteration 0162]loss 1.665 | overlap 0.103
2019-04-22 11:50:01.818132 [epoch 0 iteration 0163]loss 1.594 | overlap 0.191
2019-04-22 11:50:02.402021 [epoch 0 iteration 0164]loss 1.649 | overlap 0.134
2019-04-22 11:50:02.984830 [epoch 0 iteration 0165]loss 1.549 | overlap 0.163
2019-04-22 11:50:03.566190 [epoch 0 iteration 0166]loss 1.550 | overlap 0.137
2019-04-22 11:50:04.141990 [epoch 0 iteration 0167]loss 1.622 | overlap 0.131
2019-04-22 11:50:04.723027 [epoch 0 iteration 0168]loss 1.653 | overlap 0.125
2019-04-22 11:50:05.306525 [epoch 0 iteration 0169]loss 1.603 | overlap 0.125
2019-04-22 11:50:05.886172 [epoch 0 iteration 0170]loss 1.688 | overlap 0.125
2019-04-22 11:50:06.469092 [epoch 0 iteration 0171]loss 1.630 | overlap 0.150
2019-04-22 11:50:07.048404 [epoch 0 iteration 0172]loss 1.617 | overlap 0.141
2019-04-22 11:50:07.634820 [epoch 0 iteration 0173]loss 1.538 | overlap 0.144
2019-04-22 11:50:08.214020 [epoch 0 iteration 0174]loss 1.535 | overlap 0.169
2019-04-22 11:50:08.794432 [epoch 0 iteration 0175]loss 1.586 | overlap 0.109
2019-04-22 11:50:09.379025 [epoch 0 iteration 0176]loss 1.639 | overlap 0.131
2019-04-22 11:50:09.960163 [epoch 0 iteration 0177]loss 1.549 | overlap 0.150
2019-04-22 11:50:10.539367 [epoch 0 iteration 0178]loss 1.640 | overlap 0.084
2019-04-22 11:50:11.118193 [epoch 0 iteration 0179]loss 1.694 | overlap 0.088
2019-04-22 11:50:11.697372 [epoch 0 iteration 0180]loss 1.516 | overlap 0.184
2019-04-22 11:50:12.275965 [epoch 0 iteration 0181]loss 1.526 | overlap 0.125
2019-04-22 11:50:12.855543 [epoch 0 iteration 0182]loss 1.599 | overlap 0.137
2019-04-22 11:50:13.441082 [epoch 0 iteration 0183]loss 1.678 | overlap 0.112
2019-04-22 11:50:14.021988 [epoch 0 iteration 0184]loss 1.709 | overlap 0.066
2019-04-22 11:50:14.651019 [epoch 0 iteration 0185]loss 1.627 | overlap 0.116
2019-04-22 11:50:15.233606 [epoch 0 iteration 0186]loss 1.617 | overlap 0.144
2019-04-22 11:50:15.813051 [epoch 0 iteration 0187]loss 1.621 | overlap 0.131
2019-04-22 11:50:16.395010 [epoch 0 iteration 0188]loss 1.544 | overlap 0.159
2019-04-22 11:50:16.973343 [epoch 0 iteration 0189]loss 1.644 | overlap 0.084
2019-04-22 11:50:17.554919 [epoch 0 iteration 0190]loss 1.533 | overlap 0.194
2019-04-22 11:50:18.136702 [epoch 0 iteration 0191]loss 1.563 | overlap 0.175
2019-04-22 11:50:18.721340 [epoch 0 iteration 0192]loss 1.472 | overlap 0.231
2019-04-22 11:50:19.300320 [epoch 0 iteration 0193]loss 1.583 | overlap 0.094
2019-04-22 11:50:19.885552 [epoch 0 iteration 0194]loss 1.607 | overlap 0.100
2019-04-22 11:50:20.468918 [epoch 0 iteration 0195]loss 1.616 | overlap 0.166
2019-04-22 11:50:21.049558 [epoch 0 iteration 0196]loss 1.617 | overlap 0.144
2019-04-22 11:50:21.629163 [epoch 0 iteration 0197]loss 1.634 | overlap 0.119
2019-04-22 11:50:22.209477 [epoch 0 iteration 0198]loss 1.606 | overlap 0.103
2019-04-22 11:50:22.790993 [epoch 0 iteration 0199]loss 1.529 | overlap 0.144
=================== interval 199 | loss 1.657 | overlap 0.120 ===================
2019-04-22 11:50:23.370520 [epoch 0 iteration 0200]loss 1.565 | overlap 0.134
2019-04-22 11:50:23.950577 [epoch 0 iteration 0201]loss 1.658 | overlap 0.112
2019-04-22 11:50:24.529541 [epoch 0 iteration 0202]loss 1.647 | overlap 0.097
2019-04-22 11:50:25.109518 [epoch 0 iteration 0203]loss 1.637 | overlap 0.122
2019-04-22 11:50:25.684105 [epoch 0 iteration 0204]loss 1.624 | overlap 0.097
2019-04-22 11:50:26.261871 [epoch 0 iteration 0205]loss 1.670 | overlap 0.094
2019-04-22 11:50:26.847690 [epoch 0 iteration 0206]loss 1.507 | overlap 0.150
2019-04-22 11:50:27.423273 [epoch 0 iteration 0207]loss 1.545 | overlap 0.125
2019-04-22 11:50:28.003015 [epoch 0 iteration 0208]loss 1.546 | overlap 0.119
2019-04-22 11:50:28.585288 [epoch 0 iteration 0209]loss 1.657 | overlap 0.084
2019-04-22 11:50:29.198789 [epoch 0 iteration 0210]loss 1.567 | overlap 0.150
2019-04-22 11:50:29.781166 [epoch 0 iteration 0211]loss 1.542 | overlap 0.169
2019-04-22 11:50:30.369829 [epoch 0 iteration 0212]loss 1.644 | overlap 0.081
2019-04-22 11:50:30.951563 [epoch 0 iteration 0213]loss 1.511 | overlap 0.169
2019-04-22 11:50:31.533208 [epoch 0 iteration 0214]loss 1.465 | overlap 0.219
2019-04-22 11:50:32.120648 [epoch 0 iteration 0215]loss 1.578 | overlap 0.122
2019-04-22 11:50:32.704537 [epoch 0 iteration 0216]loss 1.471 | overlap 0.191
2019-04-22 11:50:33.282557 [epoch 0 iteration 0217]loss 1.504 | overlap 0.194
