2019-05-02 16:54:37.032134 [epoch 0 iteration 0000]loss 1.904 | overlap 0.066
2019-05-02 16:54:37.633519 [epoch 0 iteration 0001]loss 1.751 | overlap 0.119
2019-05-02 16:54:38.263110 [epoch 0 iteration 0002]loss 1.779 | overlap 0.084
2019-05-02 16:54:38.846055 [epoch 0 iteration 0003]loss 1.830 | overlap 0.056
2019-05-02 16:54:39.438642 [epoch 0 iteration 0004]loss 1.655 | overlap 0.116
2019-05-02 16:54:40.041966 [epoch 0 iteration 0005]loss 1.669 | overlap 0.112
2019-05-02 16:54:40.648874 [epoch 0 iteration 0006]loss 1.668 | overlap 0.137
2019-05-02 16:54:41.236055 [epoch 0 iteration 0007]loss 1.475 | overlap 0.178
2019-05-02 16:54:41.842986 [epoch 0 iteration 0008]loss 1.533 | overlap 0.144
2019-05-02 16:54:42.426075 [epoch 0 iteration 0009]loss 1.624 | overlap 0.128
2019-05-02 16:54:43.000675 [epoch 0 iteration 0010]loss 1.516 | overlap 0.122
2019-05-02 16:54:43.599056 [epoch 0 iteration 0011]loss 1.621 | overlap 0.109
2019-05-02 16:54:44.203931 [epoch 0 iteration 0012]loss 1.550 | overlap 0.109
2019-05-02 16:54:44.762318 [epoch 0 iteration 0013]loss 1.660 | overlap 0.103
2019-05-02 16:54:45.340365 [epoch 0 iteration 0014]loss 1.496 | overlap 0.156
2019-05-02 16:54:45.934546 [epoch 0 iteration 0015]loss 1.526 | overlap 0.178
2019-05-02 16:54:46.531714 [epoch 0 iteration 0016]loss 1.533 | overlap 0.116
2019-05-02 16:54:47.125319 [epoch 0 iteration 0017]loss 1.570 | overlap 0.078
2019-05-02 16:54:47.694905 [epoch 0 iteration 0018]loss 1.566 | overlap 0.119
2019-05-02 16:54:48.283786 [epoch 0 iteration 0019]loss 1.471 | overlap 0.175
2019-05-02 16:54:48.898294 [epoch 0 iteration 0020]loss 1.590 | overlap 0.119
2019-05-02 16:54:49.482187 [epoch 0 iteration 0021]loss 1.502 | overlap 0.156
2019-05-02 16:54:50.075541 [epoch 0 iteration 0022]loss 1.577 | overlap 0.131
2019-05-02 16:54:50.689244 [epoch 0 iteration 0023]loss 1.443 | overlap 0.200
2019-05-02 16:54:51.292512 [epoch 0 iteration 0024]loss 1.472 | overlap 0.194
2019-05-02 16:54:51.875750 [epoch 0 iteration 0025]loss 1.482 | overlap 0.153
2019-05-02 16:54:52.465139 [epoch 0 iteration 0026]loss 1.448 | overlap 0.212
2019-05-02 16:54:53.038901 [epoch 0 iteration 0027]loss 1.563 | overlap 0.141
2019-05-02 16:54:53.648746 [epoch 0 iteration 0028]loss 1.518 | overlap 0.144
2019-05-02 16:54:54.219160 [epoch 0 iteration 0029]loss 1.575 | overlap 0.116
2019-05-02 16:54:54.823434 [epoch 0 iteration 0030]loss 1.632 | overlap 0.097
2019-05-02 16:54:55.420106 [epoch 0 iteration 0031]loss 1.532 | overlap 0.159
2019-05-02 16:54:56.004882 [epoch 0 iteration 0032]loss 1.538 | overlap 0.172
2019-05-02 16:54:56.592655 [epoch 0 iteration 0033]loss 1.585 | overlap 0.112
2019-05-02 16:54:57.160928 [epoch 0 iteration 0034]loss 1.540 | overlap 0.097
2019-05-02 16:54:57.731092 [epoch 0 iteration 0035]loss 1.640 | overlap 0.081
2019-05-02 16:54:58.313362 [epoch 0 iteration 0036]loss 1.569 | overlap 0.097
2019-05-02 16:54:58.907372 [epoch 0 iteration 0037]loss 1.502 | overlap 0.166
2019-05-02 16:54:59.477222 [epoch 0 iteration 0038]loss 1.459 | overlap 0.181
2019-05-02 16:55:00.052667 [epoch 0 iteration 0039]loss 1.531 | overlap 0.122
2019-05-02 16:55:00.649217 [epoch 0 iteration 0040]loss 1.524 | overlap 0.131
2019-05-02 16:55:01.254461 [epoch 0 iteration 0041]loss 1.514 | overlap 0.137
2019-05-02 16:55:01.832188 [epoch 0 iteration 0042]loss 1.517 | overlap 0.106
2019-05-02 16:55:02.418713 [epoch 0 iteration 0043]loss 1.525 | overlap 0.112
2019-05-02 16:55:02.995981 [epoch 0 iteration 0044]loss 1.531 | overlap 0.128
2019-05-02 16:55:03.575596 [epoch 0 iteration 0045]loss 1.652 | overlap 0.047
2019-05-02 16:55:04.195377 [epoch 0 iteration 0046]loss 1.591 | overlap 0.122
2019-05-02 16:55:04.784282 [epoch 0 iteration 0047]loss 1.466 | overlap 0.187
2019-05-02 16:55:05.369315 [epoch 0 iteration 0048]loss 1.599 | overlap 0.100
2019-05-02 16:55:05.991687 [epoch 0 iteration 0049]loss 1.535 | overlap 0.134
2019-05-02 16:55:06.593444 [epoch 0 iteration 0050]loss 1.618 | overlap 0.106
2019-05-02 16:55:07.176403 [epoch 0 iteration 0051]loss 1.573 | overlap 0.112
2019-05-02 16:55:07.745881 [epoch 0 iteration 0052]loss 1.539 | overlap 0.103
2019-05-02 16:55:08.338003 [epoch 0 iteration 0053]loss 1.489 | overlap 0.137
2019-05-02 16:55:08.927099 [epoch 0 iteration 0054]loss 1.578 | overlap 0.103
2019-05-02 16:55:09.518306 [epoch 0 iteration 0055]loss 1.551 | overlap 0.109
2019-05-02 16:55:10.079191 [epoch 0 iteration 0056]loss 1.526 | overlap 0.122
2019-05-02 16:55:10.683616 [epoch 0 iteration 0057]loss 1.511 | overlap 0.159
2019-05-02 16:55:11.283072 [epoch 0 iteration 0058]loss 1.554 | overlap 0.097
2019-05-02 16:55:11.877754 [epoch 0 iteration 0059]loss 1.486 | overlap 0.159
2019-05-02 16:55:12.483617 [epoch 0 iteration 0060]loss 1.535 | overlap 0.156
2019-05-02 16:55:13.058257 [epoch 0 iteration 0061]loss 1.520 | overlap 0.156
2019-05-02 16:55:13.651634 [epoch 0 iteration 0062]loss 1.501 | overlap 0.203
2019-05-02 16:55:14.253565 [epoch 0 iteration 0063]loss 1.512 | overlap 0.206
2019-05-02 16:55:14.846348 [epoch 0 iteration 0064]loss 1.475 | overlap 0.191
2019-05-02 16:55:15.438409 [epoch 0 iteration 0065]loss 1.591 | overlap 0.116
2019-05-02 16:55:16.026088 [epoch 0 iteration 0066]loss 1.450 | overlap 0.216
2019-05-02 16:55:16.610779 [epoch 0 iteration 0067]loss 1.594 | overlap 0.084
