2019-04-28 16:34:40.078992 [epoch 0 iteration 0000]loss 1.849 | overlap 0.094
2019-04-28 16:34:40.556530 [epoch 0 iteration 0001]loss 1.827 | overlap 0.088
2019-04-28 16:34:40.989974 [epoch 0 iteration 0002]loss 1.720 | overlap 0.141
2019-04-28 16:34:41.413034 [epoch 0 iteration 0003]loss 1.623 | overlap 0.153
2019-04-28 16:34:41.849794 [epoch 0 iteration 0004]loss 1.575 | overlap 0.175
2019-04-28 16:34:42.273582 [epoch 0 iteration 0005]loss 1.749 | overlap 0.103
2019-04-28 16:34:42.728892 [epoch 0 iteration 0006]loss 1.733 | overlap 0.069
2019-04-28 16:34:43.168655 [epoch 0 iteration 0007]loss 1.594 | overlap 0.128
2019-04-28 16:34:43.615469 [epoch 0 iteration 0008]loss 1.600 | overlap 0.106
2019-04-28 16:34:44.053497 [epoch 0 iteration 0009]loss 1.595 | overlap 0.131
2019-04-28 16:34:44.478245 [epoch 0 iteration 0010]loss 1.648 | overlap 0.097
2019-04-28 16:34:44.926142 [epoch 0 iteration 0011]loss 1.635 | overlap 0.100
2019-04-28 16:34:45.345734 [epoch 0 iteration 0012]loss 1.608 | overlap 0.103
2019-04-28 16:34:45.794932 [epoch 0 iteration 0013]loss 1.690 | overlap 0.072
2019-04-28 16:34:46.242632 [epoch 0 iteration 0014]loss 1.640 | overlap 0.084
2019-04-28 16:34:46.670754 [epoch 0 iteration 0015]loss 1.624 | overlap 0.094
2019-04-28 16:34:47.085042 [epoch 0 iteration 0016]loss 1.635 | overlap 0.091
2019-04-28 16:34:47.525683 [epoch 0 iteration 0017]loss 1.632 | overlap 0.094
2019-04-28 16:34:47.950371 [epoch 0 iteration 0018]loss 1.583 | overlap 0.094
2019-04-28 16:34:48.395958 [epoch 0 iteration 0019]loss 1.664 | overlap 0.094
2019-04-28 16:34:48.814098 [epoch 0 iteration 0020]loss 1.608 | overlap 0.116
2019-04-28 16:34:49.225926 [epoch 0 iteration 0021]loss 1.545 | overlap 0.144
2019-04-28 16:34:49.690278 [epoch 0 iteration 0022]loss 1.607 | overlap 0.094
2019-04-28 16:34:50.116873 [epoch 0 iteration 0023]loss 1.579 | overlap 0.106
2019-04-28 16:34:50.597576 [epoch 0 iteration 0024]loss 1.574 | overlap 0.131
2019-04-28 16:34:51.047397 [epoch 0 iteration 0025]loss 1.558 | overlap 0.097
2019-04-28 16:34:51.469812 [epoch 0 iteration 0026]loss 1.595 | overlap 0.084
2019-04-28 16:34:51.910467 [epoch 0 iteration 0027]loss 1.577 | overlap 0.088
2019-04-28 16:34:52.355150 [epoch 0 iteration 0028]loss 1.605 | overlap 0.072
2019-04-28 16:34:52.802751 [epoch 0 iteration 0029]loss 1.587 | overlap 0.106
2019-04-28 16:34:53.226464 [epoch 0 iteration 0030]loss 1.545 | overlap 0.116
2019-04-28 16:34:53.678651 [epoch 0 iteration 0031]loss 1.578 | overlap 0.116
2019-04-28 16:34:54.116300 [epoch 0 iteration 0032]loss 1.518 | overlap 0.119
2019-04-28 16:34:54.541213 [epoch 0 iteration 0033]loss 1.552 | overlap 0.144
2019-04-28 16:34:54.954879 [epoch 0 iteration 0034]loss 1.597 | overlap 0.091
2019-04-28 16:34:55.399275 [epoch 0 iteration 0035]loss 1.579 | overlap 0.109
2019-04-28 16:34:55.847781 [epoch 0 iteration 0036]loss 1.540 | overlap 0.137
2019-04-28 16:34:56.265215 [epoch 0 iteration 0037]loss 1.585 | overlap 0.084
2019-04-28 16:34:56.710016 [epoch 0 iteration 0038]loss 1.616 | overlap 0.062
2019-04-28 16:34:57.137857 [epoch 0 iteration 0039]loss 1.570 | overlap 0.109
2019-04-28 16:34:57.584904 [epoch 0 iteration 0040]loss 1.577 | overlap 0.062
2019-04-28 16:34:58.009844 [epoch 0 iteration 0041]loss 1.583 | overlap 0.103
2019-04-28 16:34:58.431496 [epoch 0 iteration 0042]loss 1.522 | overlap 0.134
2019-04-28 16:34:58.858944 [epoch 0 iteration 0043]loss 1.559 | overlap 0.088
2019-04-28 16:34:59.272972 [epoch 0 iteration 0044]loss 1.538 | overlap 0.116
2019-04-28 16:34:59.690360 [epoch 0 iteration 0045]loss 1.539 | overlap 0.175
2019-04-28 16:35:00.143644 [epoch 0 iteration 0046]loss 1.554 | overlap 0.125
2019-04-28 16:35:00.627068 [epoch 0 iteration 0047]loss 1.576 | overlap 0.103
2019-04-28 16:35:01.054661 [epoch 0 iteration 0048]loss 1.543 | overlap 0.122
2019-04-28 16:35:01.482970 [epoch 0 iteration 0049]loss 1.525 | overlap 0.119
2019-04-28 16:35:01.907049 [epoch 0 iteration 0050]loss 1.581 | overlap 0.062
2019-04-28 16:35:02.360840 [epoch 0 iteration 0051]loss 1.510 | overlap 0.159
2019-04-28 16:35:02.807990 [epoch 0 iteration 0052]loss 1.537 | overlap 0.112
2019-04-28 16:35:03.234175 [epoch 0 iteration 0053]loss 1.572 | overlap 0.106
2019-04-28 16:35:03.660040 [epoch 0 iteration 0054]loss 1.528 | overlap 0.100
2019-04-28 16:35:04.103008 [epoch 0 iteration 0055]loss 1.532 | overlap 0.119
2019-04-28 16:35:04.527776 [epoch 0 iteration 0056]loss 1.542 | overlap 0.159
2019-04-28 16:35:04.945116 [epoch 0 iteration 0057]loss 1.578 | overlap 0.116
2019-04-28 16:35:05.369993 [epoch 0 iteration 0058]loss 1.609 | overlap 0.097
2019-04-28 16:35:05.796525 [epoch 0 iteration 0059]loss 1.586 | overlap 0.109
2019-04-28 16:35:06.224640 [epoch 0 iteration 0060]loss 1.553 | overlap 0.088
2019-04-28 16:35:06.672928 [epoch 0 iteration 0061]loss 1.455 | overlap 0.231
2019-04-28 16:35:07.095204 [epoch 0 iteration 0062]loss 1.593 | overlap 0.091
2019-04-28 16:35:07.519734 [epoch 0 iteration 0063]loss 1.531 | overlap 0.163
2019-04-28 16:35:07.946600 [epoch 0 iteration 0064]loss 1.520 | overlap 0.184
2019-04-28 16:35:08.376519 [epoch 0 iteration 0065]loss 1.606 | overlap 0.091
2019-04-28 16:35:08.817604 [epoch 0 iteration 0066]loss 1.560 | overlap 0.103
2019-04-28 16:35:09.267138 [epoch 0 iteration 0067]loss 1.518 | overlap 0.187
2019-04-28 16:35:09.686281 [epoch 0 iteration 0068]loss 1.573 | overlap 0.106
2019-04-28 16:35:10.148364 [epoch 0 iteration 0069]loss 1.553 | overlap 0.097
2019-04-28 16:35:10.584588 [epoch 0 iteration 0070]loss 1.519 | overlap 0.163
2019-04-28 16:35:11.009026 [epoch 0 iteration 0071]loss 1.600 | overlap 0.075
2019-04-28 16:35:11.452202 [epoch 0 iteration 0072]loss 1.588 | overlap 0.069
2019-04-28 16:35:11.879038 [epoch 0 iteration 0073]loss 1.564 | overlap 0.084
2019-04-28 16:35:12.329434 [epoch 0 iteration 0074]loss 1.497 | overlap 0.219
2019-04-28 16:35:12.755484 [epoch 0 iteration 0075]loss 1.544 | overlap 0.134
2019-04-28 16:35:13.179087 [epoch 0 iteration 0076]loss 1.572 | overlap 0.078
2019-04-28 16:35:13.605840 [epoch 0 iteration 0077]loss 1.534 | overlap 0.150
2019-04-28 16:35:14.021632 [epoch 0 iteration 0078]loss 1.552 | overlap 0.141
2019-04-28 16:35:14.467133 [epoch 0 iteration 0079]loss 1.498 | overlap 0.166
2019-04-28 16:35:14.914381 [epoch 0 iteration 0080]loss 1.550 | overlap 0.119
