[epoch 0 iteration 0106]loss 1.515 | overlap 0.153
[epoch 0 iteration 0107]loss 1.501 | overlap 0.159
[epoch 0 iteration 0108]loss 1.486 | overlap 0.172
[epoch 0 iteration 0109]loss 1.599 | overlap 0.078
[epoch 0 iteration 0110]loss 1.485 | overlap 0.187
[epoch 0 iteration 0111]loss 1.482 | overlap 0.159
[epoch 0 iteration 0112]loss 1.494 | overlap 0.178
[epoch 0 iteration 0113]loss 1.520 | overlap 0.178
[epoch 0 iteration 0114]loss 1.537 | overlap 0.144
[epoch 0 iteration 0115]loss 1.577 | overlap 0.119
[epoch 0 iteration 0116]loss 1.518 | overlap 0.128
[epoch 0 iteration 0117]loss 1.544 | overlap 0.141
[epoch 0 iteration 0118]loss 1.526 | overlap 0.131
[epoch 0 iteration 0119]loss 1.473 | overlap 0.187
[epoch 0 iteration 0120]loss 1.480 | overlap 0.191
[epoch 0 iteration 0121]loss 1.524 | overlap 0.194
[epoch 0 iteration 0122]loss 1.495 | overlap 0.131
[epoch 0 iteration 0123]loss 1.519 | overlap 0.172
[epoch 0 iteration 0124]loss 1.510 | overlap 0.159
[epoch 0 iteration 0125]loss 1.509 | overlap 0.163
[epoch 0 iteration 0126]loss 1.509 | overlap 0.181
[epoch 0 iteration 0127]loss 1.478 | overlap 0.187
[epoch 0 iteration 0128]loss 1.520 | overlap 0.125
[epoch 0 iteration 0129]loss 1.544 | overlap 0.141
[epoch 0 iteration 0130]loss 1.497 | overlap 0.166
[epoch 0 iteration 0131]loss 1.521 | overlap 0.153
[epoch 0 iteration 0132]loss 1.539 | overlap 0.153
[epoch 0 iteration 0133]loss 1.512 | overlap 0.156
[epoch 0 iteration 0134]loss 1.504 | overlap 0.191
[epoch 0 iteration 0135]loss 1.537 | overlap 0.150
[epoch 0 iteration 0136]loss 1.507 | overlap 0.175
[epoch 0 iteration 0137]loss 1.431 | overlap 0.216
[epoch 0 iteration 0138]loss 1.559 | overlap 0.109
[epoch 0 iteration 0139]loss 1.482 | overlap 0.175
[epoch 0 iteration 0140]loss 1.523 | overlap 0.134
[epoch 0 iteration 0141]loss 1.569 | overlap 0.119
[epoch 0 iteration 0142]loss 1.557 | overlap 0.141
[epoch 0 iteration 0143]loss 1.476 | overlap 0.206
[epoch 0 iteration 0144]loss 1.571 | overlap 0.109
[epoch 0 iteration 0145]loss 1.454 | overlap 0.184
[epoch 0 iteration 0146]loss 1.440 | overlap 0.250
[epoch 0 iteration 0147]loss 1.498 | overlap 0.169
[epoch 0 iteration 0148]loss 1.533 | overlap 0.144
[epoch 0 iteration 0149]loss 1.540 | overlap 0.131
[epoch 0 iteration 0150]loss 1.505 | overlap 0.141
