2019-05-03 20:21:12.039581 [epoch 0 iteration 0000]loss 2.100 | overlap 0.053
2019-05-03 20:21:12.291183 [epoch 0 iteration 0001]loss 1.882 | overlap 0.150
2019-05-03 20:21:12.589453 [epoch 0 iteration 0002]loss 1.865 | overlap 0.103
2019-05-03 20:21:12.832225 [epoch 0 iteration 0003]loss 1.884 | overlap 0.109
2019-05-03 20:21:13.063187 [epoch 0 iteration 0004]loss 1.797 | overlap 0.134
2019-05-03 20:21:13.305110 [epoch 0 iteration 0005]loss 1.779 | overlap 0.150
2019-05-03 20:21:13.532670 [epoch 0 iteration 0006]loss 1.847 | overlap 0.122
2019-05-03 20:21:13.775380 [epoch 0 iteration 0007]loss 1.806 | overlap 0.112
2019-05-03 20:21:14.007004 [epoch 0 iteration 0008]loss 1.953 | overlap 0.094
2019-05-03 20:21:14.250739 [epoch 0 iteration 0009]loss 1.872 | overlap 0.088
2019-05-03 20:21:14.491946 [epoch 0 iteration 0010]loss 1.880 | overlap 0.091
2019-05-03 20:21:14.734740 [epoch 0 iteration 0011]loss 1.764 | overlap 0.112
2019-05-03 20:21:14.982281 [epoch 0 iteration 0012]loss 1.655 | overlap 0.175
2019-05-03 20:21:15.224284 [epoch 0 iteration 0013]loss 1.881 | overlap 0.112
2019-05-03 20:21:15.464678 [epoch 0 iteration 0014]loss 1.794 | overlap 0.088
2019-05-03 20:21:15.712102 [epoch 0 iteration 0015]loss 1.927 | overlap 0.062
2019-05-03 20:21:15.946573 [epoch 0 iteration 0016]loss 1.690 | overlap 0.128
2019-05-03 20:21:16.184695 [epoch 0 iteration 0017]loss 1.645 | overlap 0.175
2019-05-03 20:21:16.424139 [epoch 0 iteration 0018]loss 1.891 | overlap 0.103
2019-05-03 20:21:16.666855 [epoch 0 iteration 0019]loss 1.757 | overlap 0.097
2019-05-03 20:21:16.899245 [epoch 0 iteration 0020]loss 1.657 | overlap 0.169
2019-05-03 20:21:17.142995 [epoch 0 iteration 0021]loss 1.740 | overlap 0.125
2019-05-03 20:21:17.423061 [epoch 0 iteration 0022]loss 1.678 | overlap 0.122
2019-05-03 20:21:17.665619 [epoch 0 iteration 0023]loss 1.671 | overlap 0.122
2019-05-03 20:21:17.905805 [epoch 0 iteration 0024]loss 1.704 | overlap 0.131
2019-05-03 20:21:18.149723 [epoch 0 iteration 0025]loss 1.672 | overlap 0.137
2019-05-03 20:21:18.399441 [epoch 0 iteration 0026]loss 1.755 | overlap 0.066
2019-05-03 20:21:18.637419 [epoch 0 iteration 0027]loss 1.574 | overlap 0.169
2019-05-03 20:21:18.871018 [epoch 0 iteration 0028]loss 1.769 | overlap 0.075
2019-05-03 20:21:19.108613 [epoch 0 iteration 0029]loss 1.603 | overlap 0.122
2019-05-03 20:21:19.357510 [epoch 0 iteration 0030]loss 1.682 | overlap 0.103
2019-05-03 20:21:19.598307 [epoch 0 iteration 0031]loss 1.701 | overlap 0.116
2019-05-03 20:21:19.843737 [epoch 0 iteration 0032]loss 1.749 | overlap 0.059
2019-05-03 20:21:20.078284 [epoch 0 iteration 0033]loss 1.741 | overlap 0.078
2019-05-03 20:21:20.326747 [epoch 0 iteration 0034]loss 1.692 | overlap 0.125
2019-05-03 20:21:20.575507 [epoch 0 iteration 0035]loss 1.626 | overlap 0.103
2019-05-03 20:21:20.812289 [epoch 0 iteration 0036]loss 1.641 | overlap 0.122
2019-05-03 20:21:21.052073 [epoch 0 iteration 0037]loss 1.662 | overlap 0.081
2019-05-03 20:21:21.292886 [epoch 0 iteration 0038]loss 1.685 | overlap 0.072
2019-05-03 20:21:21.521842 [epoch 0 iteration 0039]loss 1.682 | overlap 0.109
2019-05-03 20:21:21.752154 [epoch 0 iteration 0040]loss 1.657 | overlap 0.097
2019-05-03 20:21:21.991634 [epoch 0 iteration 0041]loss 1.660 | overlap 0.081
2019-05-03 20:21:22.237234 [epoch 0 iteration 0042]loss 1.648 | overlap 0.097
2019-05-03 20:21:22.511573 [epoch 0 iteration 0043]loss 1.564 | overlap 0.150
2019-05-03 20:21:22.757016 [epoch 0 iteration 0044]loss 1.619 | overlap 0.116
2019-05-03 20:21:22.997416 [epoch 0 iteration 0045]loss 1.539 | overlap 0.125
2019-05-03 20:21:23.232439 [epoch 0 iteration 0046]loss 1.618 | overlap 0.106
