2019-05-03 18:10:51.133996 [epoch 0 iteration 0000]loss 2.220 | overlap 0.097
2019-05-03 18:10:51.402004 [epoch 0 iteration 0001]loss 2.251 | overlap 0.050
2019-05-03 18:10:51.700504 [epoch 0 iteration 0002]loss 2.276 | overlap 0.112
2019-05-03 18:10:51.950335 [epoch 0 iteration 0003]loss 2.296 | overlap 0.050
2019-05-03 18:10:52.209618 [epoch 0 iteration 0004]loss 2.155 | overlap 0.078
2019-05-03 18:10:52.464538 [epoch 0 iteration 0005]loss 2.072 | overlap 0.081
2019-05-03 18:10:52.731338 [epoch 0 iteration 0006]loss 2.042 | overlap 0.091
2019-05-03 18:10:52.983906 [epoch 0 iteration 0007]loss 2.149 | overlap 0.056
2019-05-03 18:10:53.232858 [epoch 0 iteration 0008]loss 2.126 | overlap 0.066
2019-05-03 18:10:53.492756 [epoch 0 iteration 0009]loss 2.038 | overlap 0.069
2019-05-03 18:10:53.744775 [epoch 0 iteration 0010]loss 2.066 | overlap 0.037
2019-05-03 18:10:54.011592 [epoch 0 iteration 0011]loss 2.074 | overlap 0.056
2019-05-03 18:10:54.264138 [epoch 0 iteration 0012]loss 1.977 | overlap 0.072
2019-05-03 18:10:54.527054 [epoch 0 iteration 0013]loss 2.038 | overlap 0.069
2019-05-03 18:10:54.791763 [epoch 0 iteration 0014]loss 1.977 | overlap 0.056
2019-05-03 18:10:55.045416 [epoch 0 iteration 0015]loss 2.060 | overlap 0.034
2019-05-03 18:10:55.300471 [epoch 0 iteration 0016]loss 1.880 | overlap 0.097
2019-05-03 18:10:55.558438 [epoch 0 iteration 0017]loss 2.019 | overlap 0.059
2019-05-03 18:10:55.811614 [epoch 0 iteration 0018]loss 1.835 | overlap 0.075
2019-05-03 18:10:56.078188 [epoch 0 iteration 0019]loss 2.035 | overlap 0.044
2019-05-03 18:10:56.334516 [epoch 0 iteration 0020]loss 1.999 | overlap 0.066
2019-05-03 18:10:56.595874 [epoch 0 iteration 0021]loss 1.937 | overlap 0.072
2019-05-03 18:10:56.886395 [epoch 0 iteration 0022]loss 1.819 | overlap 0.097
2019-05-03 18:10:57.144179 [epoch 0 iteration 0023]loss 1.836 | overlap 0.106
2019-05-03 18:10:57.407174 [epoch 0 iteration 0024]loss 1.859 | overlap 0.059
2019-05-03 18:10:57.660666 [epoch 0 iteration 0025]loss 1.806 | overlap 0.103
2019-05-03 18:10:57.921952 [epoch 0 iteration 0026]loss 1.915 | overlap 0.050
2019-05-03 18:10:58.178993 [epoch 0 iteration 0027]loss 1.791 | overlap 0.106
2019-05-03 18:10:58.432009 [epoch 0 iteration 0028]loss 1.896 | overlap 0.097
2019-05-03 18:10:58.701154 [epoch 0 iteration 0029]loss 1.794 | overlap 0.100
2019-05-03 18:10:58.955855 [epoch 0 iteration 0030]loss 1.755 | overlap 0.106
2019-05-03 18:10:59.218117 [epoch 0 iteration 0031]loss 1.857 | overlap 0.056
2019-05-03 18:10:59.472525 [epoch 0 iteration 0032]loss 1.805 | overlap 0.100
2019-05-03 18:10:59.729705 [epoch 0 iteration 0033]loss 1.849 | overlap 0.047
2019-05-03 18:10:59.991081 [epoch 0 iteration 0034]loss 1.879 | overlap 0.066
2019-05-03 18:11:00.245786 [epoch 0 iteration 0035]loss 1.792 | overlap 0.091
2019-05-03 18:11:00.493231 [epoch 0 iteration 0036]loss 1.666 | overlap 0.109
2019-05-03 18:11:00.751230 [epoch 0 iteration 0037]loss 1.862 | overlap 0.053
2019-05-03 18:11:01.005363 [epoch 0 iteration 0038]loss 1.763 | overlap 0.081
2019-05-03 18:11:01.267571 [epoch 0 iteration 0039]loss 1.727 | overlap 0.106
2019-05-03 18:11:01.527873 [epoch 0 iteration 0040]loss 1.672 | overlap 0.091
2019-05-03 18:11:01.781078 [epoch 0 iteration 0041]loss 1.796 | overlap 0.062
2019-05-03 18:11:02.040483 [epoch 0 iteration 0042]loss 1.791 | overlap 0.041
2019-05-03 18:11:02.300281 [epoch 0 iteration 0043]loss 1.839 | overlap 0.072
2019-05-03 18:11:02.555332 [epoch 0 iteration 0044]loss 1.801 | overlap 0.053
2019-05-03 18:11:02.856278 [epoch 0 iteration 0045]loss 1.738 | overlap 0.084
2019-05-03 18:11:03.110844 [epoch 0 iteration 0046]loss 1.710 | overlap 0.125
2019-05-03 18:11:03.375985 [epoch 0 iteration 0047]loss 1.809 | overlap 0.091
2019-05-03 18:11:03.631434 [epoch 0 iteration 0048]loss 1.600 | overlap 0.178
2019-05-03 18:11:03.883914 [epoch 0 iteration 0049]loss 1.811 | overlap 0.056
2019-05-03 18:11:04.142918 [epoch 0 iteration 0050]loss 1.779 | overlap 0.088
2019-05-03 18:11:04.400980 [epoch 0 iteration 0051]loss 1.734 | overlap 0.088
2019-05-03 18:11:04.661773 [epoch 0 iteration 0052]loss 1.841 | overlap 0.066
2019-05-03 18:11:04.912815 [epoch 0 iteration 0053]loss 1.794 | overlap 0.062
2019-05-03 18:11:05.174706 [epoch 0 iteration 0054]loss 1.815 | overlap 0.103
2019-05-03 18:11:05.435428 [epoch 0 iteration 0055]loss 1.735 | overlap 0.097
2019-05-03 18:11:05.691723 [epoch 0 iteration 0056]loss 1.693 | overlap 0.109
2019-05-03 18:11:05.936124 [epoch 0 iteration 0057]loss 1.811 | overlap 0.044
