2019-04-22 13:18:33.477496 [epoch 0 iteration 0000]loss 2.741 | overlap 0.075
2019-04-22 13:18:33.765148 [epoch 0 iteration 0001]loss 3.029 | overlap 0.041
2019-04-22 13:18:34.080674 [epoch 0 iteration 0002]loss 2.429 | overlap 0.078
2019-04-22 13:18:34.365838 [epoch 0 iteration 0003]loss 2.242 | overlap 0.059
2019-04-22 13:18:34.648044 [epoch 0 iteration 0004]loss 2.211 | overlap 0.100
2019-04-22 13:18:34.931791 [epoch 0 iteration 0005]loss 2.479 | overlap 0.062
2019-04-22 13:18:35.210667 [epoch 0 iteration 0006]loss 2.430 | overlap 0.050
2019-04-22 13:18:35.486601 [epoch 0 iteration 0007]loss 1.778 | overlap 0.066
2019-04-22 13:18:35.765317 [epoch 0 iteration 0008]loss 2.382 | overlap 0.047
2019-04-22 13:18:36.043593 [epoch 0 iteration 0009]loss 2.037 | overlap 0.078
2019-04-22 13:18:36.324242 [epoch 0 iteration 0010]loss 2.196 | overlap 0.069
2019-04-22 13:18:36.602710 [epoch 0 iteration 0011]loss 1.859 | overlap 0.053
2019-04-22 13:18:36.884104 [epoch 0 iteration 0012]loss 2.076 | overlap 0.034
2019-04-22 13:18:37.162523 [epoch 0 iteration 0013]loss 1.785 | overlap 0.062
2019-04-22 13:18:37.446978 [epoch 0 iteration 0014]loss 2.017 | overlap 0.066
2019-04-22 13:18:37.729740 [epoch 0 iteration 0015]loss 1.930 | overlap 0.047
2019-04-22 13:18:38.009866 [epoch 0 iteration 0016]loss 1.985 | overlap 0.041
2019-04-22 13:18:38.290431 [epoch 0 iteration 0017]loss 1.705 | overlap 0.050
2019-04-22 13:18:38.567772 [epoch 0 iteration 0018]loss 1.730 | overlap 0.041
2019-04-22 13:18:38.848028 [epoch 0 iteration 0019]loss 1.781 | overlap 0.088
2019-04-22 13:18:39.127124 [epoch 0 iteration 0020]loss 1.826 | overlap 0.059
2019-04-22 13:18:39.413043 [epoch 0 iteration 0021]loss 1.789 | overlap 0.056
2019-04-22 13:18:39.691799 [epoch 0 iteration 0022]loss 1.623 | overlap 0.044
2019-04-22 13:18:39.972365 [epoch 0 iteration 0023]loss 2.123 | overlap 0.056
2019-04-22 13:18:40.249495 [epoch 0 iteration 0024]loss 1.651 | overlap 0.059
2019-04-22 13:18:40.557680 [epoch 0 iteration 0025]loss 1.662 | overlap 0.062
2019-04-22 13:18:40.834389 [epoch 0 iteration 0026]loss 1.611 | overlap 0.081
2019-04-22 13:18:41.112470 [epoch 0 iteration 0027]loss 1.815 | overlap 0.059
2019-04-22 13:18:41.394003 [epoch 0 iteration 0028]loss 1.803 | overlap 0.047
2019-04-22 13:18:41.669259 [epoch 0 iteration 0029]loss 1.677 | overlap 0.059
2019-04-22 13:18:41.947312 [epoch 0 iteration 0030]loss 1.641 | overlap 0.059
2019-04-22 13:18:42.226696 [epoch 0 iteration 0031]loss 1.655 | overlap 0.084
2019-04-22 13:18:42.508094 [epoch 0 iteration 0032]loss 1.619 | overlap 0.081
2019-04-22 13:18:42.786355 [epoch 0 iteration 0033]loss 1.653 | overlap 0.059
2019-04-22 13:18:43.061798 [epoch 0 iteration 0034]loss 1.796 | overlap 0.050
2019-04-22 13:18:43.341777 [epoch 0 iteration 0035]loss 1.904 | overlap 0.047
2019-04-22 13:18:43.623735 [epoch 0 iteration 0036]loss 1.675 | overlap 0.059
2019-04-22 13:18:43.901139 [epoch 0 iteration 0037]loss 1.676 | overlap 0.050
2019-04-22 13:18:44.180098 [epoch 0 iteration 0038]loss 1.604 | overlap 0.106
2019-04-22 13:18:44.456693 [epoch 0 iteration 0039]loss 1.804 | overlap 0.081
2019-04-22 13:18:44.736340 [epoch 0 iteration 0040]loss 1.717 | overlap 0.088
2019-04-22 13:18:45.015945 [epoch 0 iteration 0041]loss 1.573 | overlap 0.091
2019-04-22 13:18:45.295309 [epoch 0 iteration 0042]loss 1.742 | overlap 0.041
2019-04-22 13:18:45.575202 [epoch 0 iteration 0043]loss 1.755 | overlap 0.081
2019-04-22 13:18:45.851480 [epoch 0 iteration 0044]loss 1.601 | overlap 0.072
2019-04-22 13:18:46.129026 [epoch 0 iteration 0045]loss 1.607 | overlap 0.069
2019-04-22 13:18:46.438189 [epoch 0 iteration 0046]loss 1.693 | overlap 0.091
2019-04-22 13:18:46.715081 [epoch 0 iteration 0047]loss 1.617 | overlap 0.059
2019-04-22 13:18:46.994733 [epoch 0 iteration 0048]loss 1.621 | overlap 0.059
2019-04-22 13:18:47.272369 [epoch 0 iteration 0049]loss 1.666 | overlap 0.088
2019-04-22 13:18:47.553715 [epoch 0 iteration 0050]loss 1.635 | overlap 0.091
2019-04-22 13:18:47.831518 [epoch 0 iteration 0051]loss 1.699 | overlap 0.075
