2019-04-28 16:35:00.800475 [epoch 0 iteration 0000]loss 1.767 | overlap 0.100
2019-04-28 16:35:01.379130 [epoch 0 iteration 0001]loss 1.774 | overlap 0.112
2019-04-28 16:35:01.931274 [epoch 0 iteration 0002]loss 1.792 | overlap 0.075
2019-04-28 16:35:02.467244 [epoch 0 iteration 0003]loss 1.687 | overlap 0.084
2019-04-28 16:35:03.042800 [epoch 0 iteration 0004]loss 1.700 | overlap 0.091
2019-04-28 16:35:03.602508 [epoch 0 iteration 0005]loss 1.686 | overlap 0.084
2019-04-28 16:35:04.114120 [epoch 0 iteration 0006]loss 1.668 | overlap 0.069
2019-04-28 16:35:04.672929 [epoch 0 iteration 0007]loss 1.677 | overlap 0.078
2019-04-28 16:35:05.228970 [epoch 0 iteration 0008]loss 1.596 | overlap 0.137
2019-04-28 16:35:05.766410 [epoch 0 iteration 0009]loss 1.576 | overlap 0.122
2019-04-28 16:35:06.332388 [epoch 0 iteration 0010]loss 1.660 | overlap 0.078
2019-04-28 16:35:06.903498 [epoch 0 iteration 0011]loss 1.649 | overlap 0.088
2019-04-28 16:35:07.452930 [epoch 0 iteration 0012]loss 1.589 | overlap 0.125
2019-04-28 16:35:08.012923 [epoch 0 iteration 0013]loss 1.619 | overlap 0.091
2019-04-28 16:35:08.550970 [epoch 0 iteration 0014]loss 1.599 | overlap 0.125
2019-04-28 16:35:09.106454 [epoch 0 iteration 0015]loss 1.567 | overlap 0.109
2019-04-28 16:35:09.640809 [epoch 0 iteration 0016]loss 1.650 | overlap 0.084
2019-04-28 16:35:10.176705 [epoch 0 iteration 0017]loss 1.601 | overlap 0.109
2019-04-28 16:35:10.688324 [epoch 0 iteration 0018]loss 1.616 | overlap 0.094
2019-04-28 16:35:11.204009 [epoch 0 iteration 0019]loss 1.585 | overlap 0.091
2019-04-28 16:35:11.764124 [epoch 0 iteration 0020]loss 1.629 | overlap 0.084
2019-04-28 16:35:12.295594 [epoch 0 iteration 0021]loss 1.666 | overlap 0.088
2019-04-28 16:35:12.853507 [epoch 0 iteration 0022]loss 1.555 | overlap 0.088
2019-04-28 16:35:13.410753 [epoch 0 iteration 0023]loss 1.621 | overlap 0.091
2019-04-28 16:35:13.970259 [epoch 0 iteration 0024]loss 1.573 | overlap 0.106
2019-04-28 16:35:14.526287 [epoch 0 iteration 0025]loss 1.568 | overlap 0.106
2019-04-28 16:35:15.081407 [epoch 0 iteration 0026]loss 1.577 | overlap 0.122
2019-04-28 16:35:15.613953 [epoch 0 iteration 0027]loss 1.570 | overlap 0.116
2019-04-28 16:35:16.154266 [epoch 0 iteration 0028]loss 1.612 | overlap 0.122
2019-04-28 16:35:16.673361 [epoch 0 iteration 0029]loss 1.616 | overlap 0.072
2019-04-28 16:35:17.192260 [epoch 0 iteration 0030]loss 1.586 | overlap 0.084
2019-04-28 16:35:17.730964 [epoch 0 iteration 0031]loss 1.565 | overlap 0.106
2019-04-28 16:35:18.276578 [epoch 0 iteration 0032]loss 1.620 | overlap 0.072
2019-04-28 16:35:18.796516 [epoch 0 iteration 0033]loss 1.597 | overlap 0.097
2019-04-28 16:35:19.339793 [epoch 0 iteration 0034]loss 1.614 | overlap 0.081
2019-04-28 16:35:19.857340 [epoch 0 iteration 0035]loss 1.575 | overlap 0.106
2019-04-28 16:35:20.379514 [epoch 0 iteration 0036]loss 1.517 | overlap 0.131
2019-04-28 16:35:20.918594 [epoch 0 iteration 0037]loss 1.574 | overlap 0.141
2019-04-28 16:35:21.436132 [epoch 0 iteration 0038]loss 1.554 | overlap 0.147
2019-04-28 16:35:21.985502 [epoch 0 iteration 0039]loss 1.613 | overlap 0.072
2019-04-28 16:35:22.503564 [epoch 0 iteration 0040]loss 1.557 | overlap 0.125
2019-04-28 16:35:23.020472 [epoch 0 iteration 0041]loss 1.526 | overlap 0.122
2019-04-28 16:35:23.539627 [epoch 0 iteration 0042]loss 1.566 | overlap 0.097
2019-04-28 16:35:24.079169 [epoch 0 iteration 0043]loss 1.584 | overlap 0.097
2019-04-28 16:35:24.640343 [epoch 0 iteration 0044]loss 1.597 | overlap 0.078
2019-04-28 16:35:25.156721 [epoch 0 iteration 0045]loss 1.547 | overlap 0.112
2019-04-28 16:35:25.676430 [epoch 0 iteration 0046]loss 1.597 | overlap 0.072
2019-04-28 16:35:26.196390 [epoch 0 iteration 0047]loss 1.608 | overlap 0.084
2019-04-28 16:35:26.732214 [epoch 0 iteration 0048]loss 1.518 | overlap 0.137
2019-04-28 16:35:27.271951 [epoch 0 iteration 0049]loss 1.624 | overlap 0.081
2019-04-28 16:35:27.815767 [epoch 0 iteration 0050]loss 1.594 | overlap 0.088
2019-04-28 16:35:28.350284 [epoch 0 iteration 0051]loss 1.532 | overlap 0.137
2019-04-28 16:35:28.867210 [epoch 0 iteration 0052]loss 1.523 | overlap 0.163
2019-04-28 16:35:29.406710 [epoch 0 iteration 0053]loss 1.577 | overlap 0.094
2019-04-28 16:35:29.924355 [epoch 0 iteration 0054]loss 1.584 | overlap 0.112
2019-04-28 16:35:30.435680 [epoch 0 iteration 0055]loss 1.570 | overlap 0.100
2019-04-28 16:35:30.982719 [epoch 0 iteration 0056]loss 1.596 | overlap 0.112
2019-04-28 16:35:31.494297 [epoch 0 iteration 0057]loss 1.541 | overlap 0.147
2019-04-28 16:35:32.037243 [epoch 0 iteration 0058]loss 1.559 | overlap 0.150
2019-04-28 16:35:32.573563 [epoch 0 iteration 0059]loss 1.619 | overlap 0.116
2019-04-28 16:35:33.091372 [epoch 0 iteration 0060]loss 1.534 | overlap 0.166
2019-04-28 16:35:33.636209 [epoch 0 iteration 0061]loss 1.529 | overlap 0.150
2019-04-28 16:35:34.154079 [epoch 0 iteration 0062]loss 1.541 | overlap 0.159
2019-04-28 16:35:34.669363 [epoch 0 iteration 0063]loss 1.582 | overlap 0.137
2019-04-28 16:35:35.209556 [epoch 0 iteration 0064]loss 1.549 | overlap 0.141
2019-04-28 16:35:35.749895 [epoch 0 iteration 0065]loss 1.534 | overlap 0.128
2019-04-28 16:35:36.268531 [epoch 0 iteration 0066]loss 1.536 | overlap 0.134
2019-04-28 16:35:36.808761 [epoch 0 iteration 0067]loss 1.568 | overlap 0.088
2019-04-28 16:35:37.378741 [epoch 0 iteration 0068]loss 1.565 | overlap 0.106
