2019-05-03 11:09:11.934644 [epoch 0 iteration 0000]loss 2.888 | overlap 0.075
2019-05-03 11:09:12.390134 [epoch 0 iteration 0001]loss 2.210 | overlap 0.156
2019-05-03 11:09:12.798520 [epoch 0 iteration 0002]loss 2.383 | overlap 0.100
2019-05-03 11:09:13.209412 [epoch 0 iteration 0003]loss 2.143 | overlap 0.088
2019-05-03 11:09:13.616018 [epoch 0 iteration 0004]loss 2.429 | overlap 0.131
2019-05-03 11:09:14.028971 [epoch 0 iteration 0005]loss 2.166 | overlap 0.144
2019-05-03 11:09:14.441946 [epoch 0 iteration 0006]loss 2.115 | overlap 0.100
2019-05-03 11:09:14.853621 [epoch 0 iteration 0007]loss 2.111 | overlap 0.112
2019-05-03 11:09:15.266109 [epoch 0 iteration 0008]loss 2.203 | overlap 0.091
2019-05-03 11:09:15.677387 [epoch 0 iteration 0009]loss 2.134 | overlap 0.075
2019-05-03 11:09:16.087699 [epoch 0 iteration 0010]loss 2.080 | overlap 0.100
2019-05-03 11:09:16.493805 [epoch 0 iteration 0011]loss 1.970 | overlap 0.178
2019-05-03 11:09:16.903829 [epoch 0 iteration 0012]loss 2.091 | overlap 0.094
2019-05-03 11:09:17.319606 [epoch 0 iteration 0013]loss 2.010 | overlap 0.122
2019-05-03 11:09:17.727924 [epoch 0 iteration 0014]loss 2.026 | overlap 0.112
2019-05-03 11:09:18.139896 [epoch 0 iteration 0015]loss 2.120 | overlap 0.069
2019-05-03 11:09:18.648243 [epoch 0 iteration 0016]loss 2.247 | overlap 0.078
2019-05-03 11:09:19.059376 [epoch 0 iteration 0017]loss 1.850 | overlap 0.125
2019-05-03 11:09:19.473920 [epoch 0 iteration 0018]loss 1.938 | overlap 0.141
2019-05-03 11:09:19.883345 [epoch 0 iteration 0019]loss 2.152 | overlap 0.088
2019-05-03 11:09:20.294907 [epoch 0 iteration 0020]loss 1.749 | overlap 0.147
2019-05-03 11:09:20.710405 [epoch 0 iteration 0021]loss 1.939 | overlap 0.100
2019-05-03 11:09:21.117337 [epoch 0 iteration 0022]loss 1.958 | overlap 0.103
2019-05-03 11:09:21.557062 [epoch 0 iteration 0023]loss 1.968 | overlap 0.112
2019-05-03 11:09:21.968423 [epoch 0 iteration 0024]loss 1.908 | overlap 0.122
2019-05-03 11:09:22.378717 [epoch 0 iteration 0025]loss 2.064 | overlap 0.084
2019-05-03 11:09:22.789884 [epoch 0 iteration 0026]loss 2.053 | overlap 0.109
2019-05-03 11:09:23.198699 [epoch 0 iteration 0027]loss 1.737 | overlap 0.103
2019-05-03 11:09:23.606541 [epoch 0 iteration 0028]loss 1.772 | overlap 0.137
2019-05-03 11:09:24.019486 [epoch 0 iteration 0029]loss 1.864 | overlap 0.131
2019-05-03 11:09:24.418698 [epoch 0 iteration 0030]loss 1.779 | overlap 0.109
2019-05-03 11:09:24.830221 [epoch 0 iteration 0031]loss 1.861 | overlap 0.097
2019-05-03 11:09:25.242381 [epoch 0 iteration 0032]loss 1.680 | overlap 0.144
2019-05-03 11:09:25.654259 [epoch 0 iteration 0033]loss 1.913 | overlap 0.088
2019-05-03 11:09:26.068753 [epoch 0 iteration 0034]loss 1.718 | overlap 0.141
2019-05-03 11:09:26.482370 [epoch 0 iteration 0035]loss 1.853 | overlap 0.122
2019-05-03 11:09:26.883337 [epoch 0 iteration 0036]loss 1.694 | overlap 0.147
2019-05-03 11:09:27.282544 [epoch 0 iteration 0037]loss 1.755 | overlap 0.116
2019-05-03 11:09:27.693593 [epoch 0 iteration 0038]loss 1.544 | overlap 0.112
2019-05-03 11:09:28.101229 [epoch 0 iteration 0039]loss 1.841 | overlap 0.078
2019-05-03 11:09:28.511744 [epoch 0 iteration 0040]loss 1.820 | overlap 0.069
2019-05-03 11:09:28.919094 [epoch 0 iteration 0041]loss 1.533 | overlap 0.181
2019-05-03 11:09:29.325619 [epoch 0 iteration 0042]loss 1.696 | overlap 0.144
2019-05-03 11:09:29.737090 [epoch 0 iteration 0043]loss 1.692 | overlap 0.109
2019-05-03 11:09:30.151439 [epoch 0 iteration 0044]loss 1.651 | overlap 0.103
2019-05-03 11:09:30.559197 [epoch 0 iteration 0045]loss 1.698 | overlap 0.106
2019-05-03 11:09:30.964442 [epoch 0 iteration 0046]loss 1.665 | overlap 0.084
2019-05-03 11:09:31.373000 [epoch 0 iteration 0047]loss 1.724 | overlap 0.062
2019-05-03 11:09:31.819548 [epoch 0 iteration 0048]loss 1.649 | overlap 0.119
2019-05-03 11:09:32.217941 [epoch 0 iteration 0049]loss 1.699 | overlap 0.053
2019-05-03 11:09:32.622937 [epoch 0 iteration 0050]loss 1.651 | overlap 0.078
2019-05-03 11:09:33.030134 [epoch 0 iteration 0051]loss 1.691 | overlap 0.047
2019-05-03 11:09:33.424380 [epoch 0 iteration 0052]loss 1.619 | overlap 0.094
2019-05-03 11:09:33.819959 [epoch 0 iteration 0053]loss 1.617 | overlap 0.078
2019-05-03 11:09:34.215492 [epoch 0 iteration 0054]loss 1.656 | overlap 0.091
2019-05-03 11:09:34.610160 [epoch 0 iteration 0055]loss 1.639 | overlap 0.078
2019-05-03 11:09:35.014970 [epoch 0 iteration 0056]loss 1.599 | overlap 0.091
2019-05-03 11:09:35.407916 [epoch 0 iteration 0057]loss 1.592 | overlap 0.116
2019-05-03 11:09:35.800451 [epoch 0 iteration 0058]loss 1.616 | overlap 0.084
2019-05-03 11:09:36.194075 [epoch 0 iteration 0059]loss 1.511 | overlap 0.159
2019-05-03 11:09:36.587401 [epoch 0 iteration 0060]loss 1.636 | overlap 0.091
2019-05-03 11:09:36.983328 [epoch 0 iteration 0061]loss 1.599 | overlap 0.128
2019-05-03 11:09:37.378999 [epoch 0 iteration 0062]loss 1.634 | overlap 0.066
2019-05-03 11:09:37.782858 [epoch 0 iteration 0063]loss 1.641 | overlap 0.075
2019-05-03 11:09:38.175470 [epoch 0 iteration 0064]loss 1.640 | overlap 0.097
2019-05-03 11:09:38.569991 [epoch 0 iteration 0065]loss 1.626 | overlap 0.072
2019-05-03 11:09:38.980660 [epoch 0 iteration 0066]loss 1.622 | overlap 0.078
2019-05-03 11:09:39.377004 [epoch 0 iteration 0067]loss 1.559 | overlap 0.119
2019-05-03 11:09:39.783533 [epoch 0 iteration 0068]loss 1.603 | overlap 0.062
2019-05-03 11:09:40.181968 [epoch 0 iteration 0069]loss 1.557 | overlap 0.097
2019-05-03 11:09:40.608132 [epoch 0 iteration 0070]loss 1.628 | overlap 0.053
2019-05-03 11:09:41.002907 [epoch 0 iteration 0071]loss 1.583 | overlap 0.075
2019-05-03 11:09:41.399289 [epoch 0 iteration 0072]loss 1.580 | overlap 0.097
2019-05-03 11:09:41.793144 [epoch 0 iteration 0073]loss 1.582 | overlap 0.112
2019-05-03 11:09:42.186889 [epoch 0 iteration 0074]loss 1.562 | overlap 0.137
2019-05-03 11:09:42.583373 [epoch 0 iteration 0075]loss 1.560 | overlap 0.081
2019-05-03 11:09:42.975863 [epoch 0 iteration 0076]loss 1.565 | overlap 0.103
2019-05-03 11:09:43.369395 [epoch 0 iteration 0077]loss 1.538 | overlap 0.112
2019-05-03 11:09:43.772320 [epoch 0 iteration 0078]loss 1.576 | overlap 0.116
2019-05-03 11:09:44.165523 [epoch 0 iteration 0079]loss 1.576 | overlap 0.097
2019-05-03 11:09:44.558292 [epoch 0 iteration 0080]loss 1.591 | overlap 0.066
2019-05-03 11:09:44.950728 [epoch 0 iteration 0081]loss 1.632 | overlap 0.059
2019-05-03 11:09:45.342820 [epoch 0 iteration 0082]loss 1.546 | overlap 0.119
2019-05-03 11:09:45.737315 [epoch 0 iteration 0083]loss 1.581 | overlap 0.150
2019-05-03 11:09:46.132599 [epoch 0 iteration 0084]loss 1.616 | overlap 0.084
2019-05-03 11:09:46.523857 [epoch 0 iteration 0085]loss 1.559 | overlap 0.131
2019-05-03 11:09:46.919363 [epoch 0 iteration 0086]loss 1.539 | overlap 0.106
2019-05-03 11:09:47.313405 [epoch 0 iteration 0087]loss 1.594 | overlap 0.094
2019-05-03 11:09:47.710327 [epoch 0 iteration 0088]loss 1.582 | overlap 0.097
2019-05-03 11:09:48.104896 [epoch 0 iteration 0089]loss 1.580 | overlap 0.109
2019-05-03 11:09:48.504052 [epoch 0 iteration 0090]loss 1.555 | overlap 0.091
2019-05-03 11:09:48.900360 [epoch 0 iteration 0091]loss 1.548 | overlap 0.100
2019-05-03 11:09:49.293622 [epoch 0 iteration 0092]loss 1.581 | overlap 0.075
2019-05-03 11:09:49.717299 [epoch 0 iteration 0093]loss 1.553 | overlap 0.088
2019-05-03 11:09:50.113390 [epoch 0 iteration 0094]loss 1.559 | overlap 0.088
2019-05-03 11:09:50.506245 [epoch 0 iteration 0095]loss 1.568 | overlap 0.094
2019-05-03 11:09:50.899044 [epoch 0 iteration 0096]loss 1.576 | overlap 0.103
2019-05-03 11:09:51.291284 [epoch 0 iteration 0097]loss 1.523 | overlap 0.175
2019-05-03 11:09:51.685772 [epoch 0 iteration 0098]loss 1.566 | overlap 0.125
2019-05-03 11:09:52.080812 [epoch 0 iteration 0099]loss 1.567 | overlap 0.109
=================== interval 99 | loss 1.762 | overlap 0.104 ===================
2019-05-03 11:09:52.473794 [epoch 0 iteration 0100]loss 1.581 | overlap 0.088
2019-05-03 11:09:52.864390 [epoch 0 iteration 0101]loss 1.551 | overlap 0.141
2019-05-03 11:09:53.258278 [epoch 0 iteration 0102]loss 1.577 | overlap 0.106
2019-05-03 11:09:53.650335 [epoch 0 iteration 0103]loss 1.541 | overlap 0.150
2019-05-03 11:09:54.057177 [epoch 0 iteration 0104]loss 1.572 | overlap 0.109
2019-05-03 11:09:54.449993 [epoch 0 iteration 0105]loss 1.609 | overlap 0.069
2019-05-03 11:09:54.847597 [epoch 0 iteration 0106]loss 1.552 | overlap 0.112
2019-05-03 11:09:55.242477 [epoch 0 iteration 0107]loss 1.602 | overlap 0.059
2019-05-03 11:09:55.638082 [epoch 0 iteration 0108]loss 1.587 | overlap 0.097
2019-05-03 11:09:56.032601 [epoch 0 iteration 0109]loss 1.571 | overlap 0.119
2019-05-03 11:09:56.427754 [epoch 0 iteration 0110]loss 1.556 | overlap 0.144
2019-05-03 11:09:56.823324 [epoch 0 iteration 0111]loss 1.617 | overlap 0.075
2019-05-03 11:09:57.214430 [epoch 0 iteration 0112]loss 1.587 | overlap 0.081
2019-05-03 11:09:57.609921 [epoch 0 iteration 0113]loss 1.580 | overlap 0.088
2019-05-03 11:09:58.004165 [epoch 0 iteration 0114]loss 1.545 | overlap 0.112
2019-05-03 11:09:58.428605 [epoch 0 iteration 0115]loss 1.604 | overlap 0.097
2019-05-03 11:09:58.821697 [epoch 0 iteration 0116]loss 1.554 | overlap 0.106
2019-05-03 11:09:59.216923 [epoch 0 iteration 0117]loss 1.568 | overlap 0.150
2019-05-03 11:09:59.605744 [epoch 0 iteration 0118]loss 1.563 | overlap 0.106
2019-05-03 11:10:00.002505 [epoch 0 iteration 0119]loss 1.582 | overlap 0.109
2019-05-03 11:10:00.398389 [epoch 0 iteration 0120]loss 1.597 | overlap 0.091
2019-05-03 11:10:00.802357 [epoch 0 iteration 0121]loss 1.585 | overlap 0.094
2019-05-03 11:10:01.195739 [epoch 0 iteration 0122]loss 1.587 | overlap 0.075
2019-05-03 11:10:01.593617 [epoch 0 iteration 0123]loss 1.565 | overlap 0.147
2019-05-03 11:10:01.997349 [epoch 0 iteration 0124]loss 1.569 | overlap 0.128
2019-05-03 11:10:02.396655 [epoch 0 iteration 0125]loss 1.593 | overlap 0.119
2019-05-03 11:10:02.794299 [epoch 0 iteration 0126]loss 1.556 | overlap 0.122
2019-05-03 11:10:03.188518 [epoch 0 iteration 0127]loss 1.606 | overlap 0.106
2019-05-03 11:10:03.583999 [epoch 0 iteration 0128]loss 1.531 | overlap 0.150
2019-05-03 11:10:03.979154 [epoch 0 iteration 0129]loss 1.574 | overlap 0.091
2019-05-03 11:10:04.374349 [epoch 0 iteration 0130]loss 1.509 | overlap 0.156
2019-05-03 11:10:04.774916 [epoch 0 iteration 0131]loss 1.563 | overlap 0.084
2019-05-03 11:10:05.168576 [epoch 0 iteration 0132]loss 1.588 | overlap 0.075
2019-05-03 11:10:05.564599 [epoch 0 iteration 0133]loss 1.590 | overlap 0.100
2019-05-03 11:10:05.962306 [epoch 0 iteration 0134]loss 1.581 | overlap 0.078
2019-05-03 11:10:06.356013 [epoch 0 iteration 0135]loss 1.560 | overlap 0.141
2019-05-03 11:10:06.750399 [epoch 0 iteration 0136]loss 1.596 | overlap 0.053
2019-05-03 11:10:07.142935 [epoch 0 iteration 0137]loss 1.510 | overlap 0.166
2019-05-03 11:10:07.536241 [epoch 0 iteration 0138]loss 1.577 | overlap 0.116
