2019-05-01 10:05:53.445264 [epoch 0 iteration 0000]loss 1.837 | overlap 0.109
2019-05-01 10:05:54.464610 [epoch 0 iteration 0001]loss 1.873 | overlap 0.053
2019-05-01 10:05:55.523153 [epoch 0 iteration 0002]loss 1.668 | overlap 0.112
2019-05-01 10:05:56.557796 [epoch 0 iteration 0003]loss 1.777 | overlap 0.078
2019-05-01 10:05:57.552872 [epoch 0 iteration 0004]loss 1.829 | overlap 0.066
2019-05-01 10:05:58.561524 [epoch 0 iteration 0005]loss 1.708 | overlap 0.088
2019-05-01 10:05:59.590654 [epoch 0 iteration 0006]loss 1.826 | overlap 0.059
2019-05-01 10:06:00.558802 [epoch 0 iteration 0007]loss 1.740 | overlap 0.094
2019-05-01 10:06:01.617327 [epoch 0 iteration 0008]loss 1.744 | overlap 0.084
2019-05-01 10:06:02.614930 [epoch 0 iteration 0009]loss 1.702 | overlap 0.122
2019-05-01 10:06:03.645156 [epoch 0 iteration 0010]loss 1.761 | overlap 0.072
2019-05-01 10:06:04.614697 [epoch 0 iteration 0011]loss 1.683 | overlap 0.128
2019-05-01 10:06:05.644586 [epoch 0 iteration 0012]loss 1.709 | overlap 0.100
2019-05-01 10:06:06.623648 [epoch 0 iteration 0013]loss 1.689 | overlap 0.112
2019-05-01 10:06:07.643339 [epoch 0 iteration 0014]loss 1.661 | overlap 0.091
2019-05-01 10:06:08.631082 [epoch 0 iteration 0015]loss 1.737 | overlap 0.078
2019-05-01 10:06:09.645464 [epoch 0 iteration 0016]loss 1.668 | overlap 0.094
2019-05-01 10:06:10.636982 [epoch 0 iteration 0017]loss 1.619 | overlap 0.131
2019-05-01 10:06:11.655382 [epoch 0 iteration 0018]loss 1.710 | overlap 0.066
2019-05-01 10:06:12.624839 [epoch 0 iteration 0019]loss 1.687 | overlap 0.075
2019-05-01 10:06:13.631780 [epoch 0 iteration 0020]loss 1.663 | overlap 0.084
2019-05-01 10:06:14.644967 [epoch 0 iteration 0021]loss 1.679 | overlap 0.059
2019-05-01 10:06:15.649687 [epoch 0 iteration 0022]loss 1.675 | overlap 0.044
2019-05-01 10:06:16.663843 [epoch 0 iteration 0023]loss 1.675 | overlap 0.066
2019-05-01 10:06:17.737079 [epoch 0 iteration 0024]loss 1.647 | overlap 0.100
2019-05-01 10:06:18.760687 [epoch 0 iteration 0025]loss 1.618 | overlap 0.069
2019-05-01 10:06:19.812572 [epoch 0 iteration 0026]loss 1.606 | overlap 0.094
2019-05-01 10:06:20.805014 [epoch 0 iteration 0027]loss 1.620 | overlap 0.088
2019-05-01 10:06:21.794727 [epoch 0 iteration 0028]loss 1.623 | overlap 0.056
2019-05-01 10:06:22.812465 [epoch 0 iteration 0029]loss 1.642 | overlap 0.078
2019-05-01 10:06:23.810643 [epoch 0 iteration 0030]loss 1.658 | overlap 0.056
2019-05-01 10:06:24.795294 [epoch 0 iteration 0031]loss 1.675 | overlap 0.075
2019-05-01 10:06:25.791940 [epoch 0 iteration 0032]loss 1.648 | overlap 0.081
2019-05-01 10:06:26.769458 [epoch 0 iteration 0033]loss 1.634 | overlap 0.059
2019-05-01 10:06:27.754886 [epoch 0 iteration 0034]loss 1.655 | overlap 0.047
2019-05-01 10:06:28.749691 [epoch 0 iteration 0035]loss 1.600 | overlap 0.097
2019-05-01 10:06:29.766949 [epoch 0 iteration 0036]loss 1.567 | overlap 0.112
2019-05-01 10:06:30.776408 [epoch 0 iteration 0037]loss 1.631 | overlap 0.056
2019-05-01 10:06:31.777363 [epoch 0 iteration 0038]loss 1.642 | overlap 0.050
2019-05-01 10:06:32.754697 [epoch 0 iteration 0039]loss 1.610 | overlap 0.053
2019-05-01 10:06:33.743352 [epoch 0 iteration 0040]loss 1.616 | overlap 0.106
2019-05-01 10:06:34.735135 [epoch 0 iteration 0041]loss 1.645 | overlap 0.072
2019-05-01 10:06:35.749414 [epoch 0 iteration 0042]loss 1.624 | overlap 0.059
2019-05-01 10:06:36.696577 [epoch 0 iteration 0043]loss 1.632 | overlap 0.066
2019-05-01 10:06:37.695740 [epoch 0 iteration 0044]loss 1.621 | overlap 0.062
2019-05-01 10:06:38.715858 [epoch 0 iteration 0045]loss 1.612 | overlap 0.053
2019-05-01 10:06:39.712429 [epoch 0 iteration 0046]loss 1.588 | overlap 0.062
2019-05-01 10:06:40.701493 [epoch 0 iteration 0047]loss 1.637 | overlap 0.044
2019-05-01 10:06:41.633779 [epoch 0 iteration 0048]loss 1.611 | overlap 0.078
2019-05-01 10:06:42.623767 [epoch 0 iteration 0049]loss 1.588 | overlap 0.094
2019-05-01 10:06:43.622489 [epoch 0 iteration 0050]loss 1.618 | overlap 0.069
2019-05-01 10:06:44.598415 [epoch 0 iteration 0051]loss 1.635 | overlap 0.056
2019-05-01 10:06:45.581729 [epoch 0 iteration 0052]loss 1.578 | overlap 0.059
2019-05-01 10:06:46.588072 [epoch 0 iteration 0053]loss 1.627 | overlap 0.056
2019-05-01 10:06:47.625484 [epoch 0 iteration 0054]loss 1.596 | overlap 0.088
2019-05-01 10:06:48.658144 [epoch 0 iteration 0055]loss 1.603 | overlap 0.081
2019-05-01 10:06:49.723536 [epoch 0 iteration 0056]loss 1.613 | overlap 0.066
2019-05-01 10:06:50.735543 [epoch 0 iteration 0057]loss 1.582 | overlap 0.059
2019-05-01 10:06:51.767369 [epoch 0 iteration 0058]loss 1.608 | overlap 0.084
2019-05-01 10:06:52.759580 [epoch 0 iteration 0059]loss 1.583 | overlap 0.062
2019-05-01 10:06:53.736172 [epoch 0 iteration 0060]loss 1.615 | overlap 0.056
2019-05-01 10:06:54.757991 [epoch 0 iteration 0061]loss 1.609 | overlap 0.062
2019-05-01 10:06:55.750210 [epoch 0 iteration 0062]loss 1.597 | overlap 0.106
2019-05-01 10:06:56.740987 [epoch 0 iteration 0063]loss 1.609 | overlap 0.069
2019-05-01 10:06:57.806585 [epoch 0 iteration 0064]loss 1.594 | overlap 0.053
2019-05-01 10:06:58.832968 [epoch 0 iteration 0065]loss 1.608 | overlap 0.059
2019-05-01 10:06:59.874406 [epoch 0 iteration 0066]loss 1.586 | overlap 0.081
2019-05-01 10:07:00.918090 [epoch 0 iteration 0067]loss 1.586 | overlap 0.112
2019-05-01 10:07:01.909439 [epoch 0 iteration 0068]loss 1.590 | overlap 0.072
2019-05-01 10:07:03.008067 [epoch 0 iteration 0069]loss 1.598 | overlap 0.066
2019-05-01 10:07:03.991181 [epoch 0 iteration 0070]loss 1.619 | overlap 0.072
2019-05-01 10:07:05.015382 [epoch 0 iteration 0071]loss 1.611 | overlap 0.081
2019-05-01 10:07:06.001099 [epoch 0 iteration 0072]loss 1.615 | overlap 0.075
2019-05-01 10:07:07.022851 [epoch 0 iteration 0073]loss 1.609 | overlap 0.116
2019-05-01 10:07:08.015615 [epoch 0 iteration 0074]loss 1.622 | overlap 0.066
2019-05-01 10:07:08.989186 [epoch 0 iteration 0075]loss 1.615 | overlap 0.072
2019-05-01 10:07:09.994835 [epoch 0 iteration 0076]loss 1.614 | overlap 0.075
2019-05-01 10:07:10.982534 [epoch 0 iteration 0077]loss 1.604 | overlap 0.078
2019-05-01 10:07:11.985644 [epoch 0 iteration 0078]loss 1.578 | overlap 0.103
2019-05-01 10:07:13.006731 [epoch 0 iteration 0079]loss 1.601 | overlap 0.062
2019-05-01 10:07:14.011899 [epoch 0 iteration 0080]loss 1.601 | overlap 0.091
2019-05-01 10:07:15.011832 [epoch 0 iteration 0081]loss 1.577 | overlap 0.072
2019-05-01 10:07:15.995633 [epoch 0 iteration 0082]loss 1.590 | overlap 0.084
2019-05-01 10:07:16.964162 [epoch 0 iteration 0083]loss 1.607 | overlap 0.066
2019-05-01 10:07:17.905031 [epoch 0 iteration 0084]loss 1.582 | overlap 0.100
2019-05-01 10:07:18.896050 [epoch 0 iteration 0085]loss 1.601 | overlap 0.078
2019-05-01 10:07:19.961848 [epoch 0 iteration 0086]loss 1.570 | overlap 0.097
2019-05-01 10:07:20.989187 [epoch 0 iteration 0087]loss 1.589 | overlap 0.119
2019-05-01 10:07:21.980150 [epoch 0 iteration 0088]loss 1.580 | overlap 0.103
2019-05-01 10:07:22.976335 [epoch 0 iteration 0089]loss 1.609 | overlap 0.062
2019-05-01 10:07:23.967286 [epoch 0 iteration 0090]loss 1.588 | overlap 0.066
2019-05-01 10:07:24.964927 [epoch 0 iteration 0091]loss 1.609 | overlap 0.088
2019-05-01 10:07:26.005053 [epoch 0 iteration 0092]loss 1.586 | overlap 0.075
2019-05-01 10:07:27.004745 [epoch 0 iteration 0093]loss 1.602 | overlap 0.062
2019-05-01 10:07:28.018619 [epoch 0 iteration 0094]loss 1.588 | overlap 0.062
2019-05-01 10:07:29.022854 [epoch 0 iteration 0095]loss 1.603 | overlap 0.088
2019-05-01 10:07:29.999067 [epoch 0 iteration 0096]loss 1.607 | overlap 0.059
2019-05-01 10:07:31.028014 [epoch 0 iteration 0097]loss 1.600 | overlap 0.084
